id,t_name,type,r_value,r_value_effect,res_icon,cost_eoa,cost_eoa_acc,target,atk_multi,def_multi,hp_multi,cri_chance_add,cri_dmg_add,cri_avoid_add,hit_rate_add,avoid_add,accuracy_add,resistance_add
10001,적중,1,1,적중,,10000,10000,,,,,,,,1,,,
10002,회피,1,2,회피,,10100,20100,,,,,,,,,1,,
10003,치명 확률,1,3,치명 확률,,10201,30301,,,,,1,,,,,,
10004,치명 회피,1,4,치명 회피,,10303,40604,,,,,,,1,,,,
10005,적중,1,5,적중,,10406,51010,,,,,,,,1,,,
10006,회피,1,6,회피,,10510,61520,,,,,,,,,1,,
10007,생명,1,7,생명,,10615,72135,,,,1,,,,,,,
10008,치명 피해,1,8,치명 피해,,10721,82856,,,,,,1,,,,,
10009,적중,1,9,적중,,10828,93684,,,,,,,,1,,,
10010,회피,1,10,회피,,10936,104620,,,,,,,,,1,,
10011,치명 확률,1,11,치명 확률,,11045,115665,,,,,1,,,,,,
10012,치명 회피,1,12,치명 회피,,11155,126820,,,,,,,1,,,,
10013,적중,1,13,적중,,11267,138087,,,,,,,,1,,,
10014,회피,1,14,회피,,11380,149467,,,,,,,,,1,,
10015,치명 확률,1,15,치명 확률,,11494,160961,,,,,1,,,,,,
10016,치명 회피,1,16,치명 회피,,11609,172570,,,,,,,1,,,,
10017,적중,1,17,적중,,11725,184295,,,,,,,,1,,,
10018,회피,1,18,회피,,11842,196137,,,,,,,,,1,,
10019,생명,1,19,생명,,11960,208097,,,,1,,,,,,,
10020,치명 피해,1,20,치명 피해,,12080,220177,,,,,,1,,,,,
10021,적중,1,21,적중,,12201,232378,,,,,,,,1,,,
10022,회피,1,22,회피,,12323,244701,,,,,,,,,1,,
10023,치명 확률,1,23,치명 확률,,12446,257147,,,,,1,,,,,,
10024,치명 회피,1,24,치명 회피,,12570,269717,,,,,,,1,,,,
10025,적중,1,25,적중,,12696,282413,,,,,,,,1,,,
10026,회피,1,26,회피,,12823,295236,,,,,,,,,1,,
10027,치명 확률,1,27,치명 확률,,12951,308187,,,,,1,,,,,,
10028,치명 회피,1,28,치명 회피,,13081,321268,,,,,,,1,,,,
10029,적중,1,29,적중,,13212,334480,,,,,,,,1,,,
10030,회피,1,30,회피,,13344,347824,,,,,,,,,1,,
10031,생명,1,31,생명,,13477,361301,,,,1,,,,,,,
10032,치명 피해,1,32,치명 피해,,13612,374913,,,,,,1,,,,,
10033,적중,1,33,적중,,13748,388661,,,,,,,,1,,,
10034,회피,1,34,회피,,13885,402546,,,,,,,,,1,,
10035,치명 확률,1,35,치명 확률,,14024,416570,,,,,1,,,,,,
10036,치명 회피,1,36,치명 회피,,14164,430734,,,,,,,1,,,,
10037,적중,1,37,적중,,14306,445040,,,,,,,,1,,,
10038,회피,1,38,회피,,14449,459489,,,,,,,,,1,,
10039,치명 확률,1,39,치명 확률,,14593,474082,,,,,1,,,,,,
10040,치명 회피,1,40,치명 회피,,14739,488821,,,,,,,1,,,,
10041,적중,1,41,적중,,14886,503707,,,,,,,,1,,,
10042,회피,1,42,회피,,15035,518742,,,,,,,,,1,,
10043,생명,1,43,생명,,15185,533927,,,,1,,,,,,,
10044,치명 피해,1,44,치명 피해,,15337,549264,,,,,,1,,,,,
10045,적중,1,45,적중,,15490,564754,,,,,,,,1,,,
10046,회피,1,46,회피,,15645,580399,,,,,,,,,1,,
10047,치명 확률,1,47,치명 확률,,15801,596200,,,,,1,,,,,,
10048,치명 회피,1,48,치명 회피,,15959,612159,,,,,,,1,,,,
10049,적중,1,49,적중,,16119,628278,,,,,,,,1,,,
10050,회피,1,50,회피,,16280,644558,,,,,,,,,1,,
10051,치명 확률,1,51,치명 확률,,16443,661001,,,,,1,,,,,,
10052,치명 회피,1,52,치명 회피,,16607,677608,,,,,,,1,,,,
10053,적중,1,53,적중,,16773,694381,,,,,,,,1,,,
10054,회피,1,54,회피,,16941,711322,,,,,,,,,1,,
10055,생명,1,55,생명,,17110,728432,,,,1,,,,,,,
10056,치명 피해,1,56,치명 피해,,17281,745713,,,,,,1,,,,,
10057,적중,1,57,적중,,17454,763167,,,,,,,,1,,,
10058,회피,1,58,회피,,17629,780796,,,,,,,,,1,,
10059,치명 확률,1,59,치명 확률,,17805,798601,,,,,1,,,,,,
10060,치명 회피,1,60,치명 회피,,17983,816584,,,,,,,1,,,,
10061,적중,1,61,적중,,18163,834747,,,,,,,,1,,,
10062,회피,1,62,회피,,18345,853092,,,,,,,,,1,,
10063,치명 확률,1,63,치명 확률,,18528,871620,,,,,1,,,,,,
10064,치명 회피,1,64,치명 회피,,18713,890333,,,,,,,1,,,,
10065,적중,1,65,적중,,18900,909233,,,,,,,,1,,,
10066,회피,1,66,회피,,19089,928322,,,,,,,,,1,,
10067,생명,1,67,생명,,19280,947602,,,,1,,,,,,,
10068,치명 피해,1,68,치명 피해,,19473,967075,,,,,,1,,,,,
10069,적중,1,69,적중,,19668,986743,,,,,,,,1,,,
10070,회피,1,70,회피,,19865,1006608,,,,,,,,,1,,
10071,치명 확률,1,71,치명 확률,,20064,1026672,,,,,1,,,,,,
10072,치명 회피,1,72,치명 회피,,20265,1046937,,,,,,,1,,,,
10073,적중,1,73,적중,,20468,1067405,,,,,,,,1,,,
10074,회피,1,74,회피,,20673,1088078,,,,,,,,,1,,
10075,치명 확률,1,75,치명 확률,,20880,1108958,,,,,1,,,,,,
10076,치명 회피,1,76,치명 회피,,21089,1130047,,,,,,,1,,,,
10077,적중,1,77,적중,,21300,1151347,,,,,,,,1,,,
10078,회피,1,78,회피,,21513,1172860,,,,,,,,,1,,
10079,생명,1,79,생명,,21728,1194588,,,,1,,,,,,,
10080,치명 피해,1,80,치명 피해,,21945,1216533,,,,,,1,,,,,
10081,적중,1,81,적중,,22164,1238697,,,,,,,,1,,,
10082,회피,1,82,회피,,22386,1261083,,,,,,,,,1,,
10083,치명 확률,1,83,치명 확률,,22610,1283693,,,,,1,,,,,,
10084,치명 회피,1,84,치명 회피,,22836,1306529,,,,,,,1,,,,
10085,적중,1,85,적중,,23064,1329593,,,,,,,,1,,,
10086,회피,1,86,회피,,23295,1352888,,,,,,,,,1,,
10087,치명 확률,1,87,치명 확률,,23528,1376416,,,,,1,,,,,,
10088,치명 회피,1,88,치명 회피,,23763,1400179,,,,,,,1,,,,
10089,적중,1,89,적중,,24001,1424180,,,,,,,,1,,,
10090,회피,1,90,회피,,24241,1448421,,,,,,,,,1,,
10091,생명,1,91,생명,,24483,1472904,,,,1,,,,,,,
10092,치명 피해,1,92,치명 피해,,24728,1497632,,,,,,1,,,,,
10093,적중,1,93,적중,,24975,1522607,,,,,,,,1,,,
10094,회피,1,94,회피,,25225,1547832,,,,,,,,,1,,
10095,치명 확률,1,95,치명 확률,,25477,1573309,,,,,1,,,,,,
10096,치명 회피,1,96,치명 회피,,25732,1599041,,,,,,,1,,,,
10097,적중,1,97,적중,,25989,1625030,,,,,,,,1,,,
10098,회피,1,98,회피,,26249,1651279,,,,,,,,,1,,
10099,치명 확률,1,99,치명 확률,,26511,1677790,,,,,1,,,,,,
10100,치명 회피,1,100,치명 회피,,26776,1704566,,,,,,,1,,,,
10101,적중,1,101,적중,,27044,1731610,,,,,,,,1,,,
10102,회피,1,102,회피,,27314,1758924,,,,,,,,,1,,
10103,생명,1,103,생명,,27587,1786511,,,,1,,,,,,,
10104,치명 피해,1,104,치명 피해,,27863,1814374,,,,,,1,,,,,
10105,적중,1,105,적중,,28142,1842516,,,,,,,,1,,,
10106,회피,1,106,회피,,28423,1870939,,,,,,,,,1,,
10107,치명 확률,1,107,치명 확률,,28707,1899646,,,,,1,,,,,,
10108,치명 회피,1,108,치명 회피,,28994,1928640,,,,,,,1,,,,
10109,적중,1,109,적중,,29284,1957924,,,,,,,,1,,,
10110,회피,1,110,회피,,29577,1987501,,,,,,,,,1,,
10111,치명 확률,1,111,치명 확률,,29873,2017374,,,,,1,,,,,,
10112,치명 회피,1,112,치명 회피,,30172,2047546,,,,,,,1,,,,
10113,적중,1,113,적중,,30474,2078020,,,,,,,,1,,,
10114,회피,1,114,회피,,30779,2108799,,,,,,,,,1,,
10115,생명,1,115,생명,,31087,2139886,,,,1,,,,,,,
10116,치명 피해,1,116,치명 피해,,31398,2171284,,,,,,1,,,,,
10117,적중,1,117,적중,,31712,2202996,,,,,,,,1,,,
10118,회피,1,118,회피,,32029,2235025,,,,,,,,,1,,
10119,치명 확률,1,119,치명 확률,,32349,2267374,,,,,1,,,,,,
10120,치명 회피,1,120,치명 회피,,32672,2300046,,,,,,,1,,,,
10121,적중,1,121,적중,,32999,2333045,,,,,,,,1,,,
10122,회피,1,122,회피,,33329,2366374,,,,,,,,,1,,
10123,치명 확률,1,123,치명 확률,,33662,2400036,,,,,1,,,,,,
10124,치명 회피,1,124,치명 회피,,33999,2434035,,,,,,,1,,,,
10125,적중,1,125,적중,,34339,2468374,,,,,,,,1,,,
10126,회피,1,126,회피,,34682,2503056,,,,,,,,,1,,
10127,생명,1,127,생명,,35029,2538085,,,,1,,,,,,,
10128,치명 피해,1,128,치명 피해,,35379,2573464,,,,,,1,,,,,
10129,적중,1,129,적중,,35733,2609197,,,,,,,,1,,,
10130,회피,1,130,회피,,36090,2645287,,,,,,,,,1,,
10131,치명 확률,1,131,치명 확률,,36451,2681738,,,,,1,,,,,,
10132,치명 회피,1,132,치명 회피,,36816,2718554,,,,,,,1,,,,
10133,적중,1,133,적중,,37184,2755738,,,,,,,,1,,,
10134,회피,1,134,회피,,37556,2793294,,,,,,,,,1,,
10135,치명 확률,1,135,치명 확률,,37932,2831226,,,,,1,,,,,,
10136,치명 회피,1,136,치명 회피,,38311,2869537,,,,,,,1,,,,
10137,적중,1,137,적중,,38694,2908231,,,,,,,,1,,,
10138,회피,1,138,회피,,39081,2947312,,,,,,,,,1,,
10139,생명,1,139,생명,,39472,2986784,,,,1,,,,,,,
10140,치명 피해,1,140,치명 피해,,39867,3026651,,,,,,1,,,,,
10141,적중,1,141,적중,,40266,3066917,,,,,,,,1,,,
10142,회피,1,142,회피,,40669,3107586,,,,,,,,,1,,
10143,치명 확률,1,143,치명 확률,,41076,3148662,,,,,1,,,,,,
10144,치명 회피,1,144,치명 회피,,41487,3190149,,,,,,,1,,,,
10145,적중,1,145,적중,,41902,3232051,,,,,,,,1,,,
10146,회피,1,146,회피,,42321,3274372,,,,,,,,,1,,
10147,치명 확률,1,147,치명 확률,,42744,3317116,,,,,1,,,,,,
10148,치명 회피,1,148,치명 회피,,43171,3360287,,,,,,,1,,,,
10149,적중,1,149,적중,,43603,3403890,,,,,,,,1,,,
10150,회피,1,150,회피,,44039,3447929,,,,,,,,,1,,
10151,생명,1,151,생명,,44479,3492408,,,,1,,,,,,,
10152,치명 피해,1,152,치명 피해,,44924,3537332,,,,,,1,,,,,
10153,적중,1,153,적중,,45373,3582705,,,,,,,,1,,,
10154,회피,1,154,회피,,45827,3628532,,,,,,,,,1,,
10155,치명 확률,1,155,치명 확률,,46285,3674817,,,,,1,,,,,,
10156,치명 회피,1,156,치명 회피,,46748,3721565,,,,,,,1,,,,
10157,적중,1,157,적중,,47215,3768780,,,,,,,,1,,,
10158,회피,1,158,회피,,47687,3816467,,,,,,,,,1,,
10159,치명 확률,1,159,치명 확률,,48164,3864631,,,,,1,,,,,,
10160,치명 회피,1,160,치명 회피,,48646,3913277,,,,,,,1,,,,
10161,적중,1,161,적중,,49132,3962409,,,,,,,,1,,,
10162,회피,1,162,회피,,49623,4012032,,,,,,,,,1,,
10163,생명,1,163,생명,,50119,4062151,,,,1,,,,,,,
10164,치명 피해,1,164,치명 피해,,50620,4112771,,,,,,1,,,,,
10165,적중,1,165,적중,,51126,4163897,,,,,,,,1,,,
10166,회피,1,166,회피,,51637,4215534,,,,,,,,,1,,
10167,치명 확률,1,167,치명 확률,,52153,4267687,,,,,1,,,,,,
10168,치명 회피,1,168,치명 회피,,52675,4320362,,,,,,,1,,,,
10169,적중,1,169,적중,,53202,4373564,,,,,,,,1,,,
10170,회피,1,170,회피,,53734,4427298,,,,,,,,,1,,
10171,치명 확률,1,171,치명 확률,,54271,4481569,,,,,1,,,,,,
10172,치명 회피,1,172,치명 회피,,54814,4536383,,,,,,,1,,,,
10173,적중,1,173,적중,,55362,4591745,,,,,,,,1,,,
10174,회피,1,174,회피,,55916,4647661,,,,,,,,,1,,
10175,생명,1,175,생명,,56475,4704136,,,,1,,,,,,,
10176,치명 피해,1,176,치명 피해,,57040,4761176,,,,,,1,,,,,
10177,적중,1,177,적중,,57610,4818786,,,,,,,,1,,,
10178,회피,1,178,회피,,58186,4876972,,,,,,,,,1,,
10179,치명 확률,1,179,치명 확률,,58768,4935740,,,,,1,,,,,,
10180,치명 회피,1,180,치명 회피,,59356,4995096,,,,,,,1,,,,
10181,적중,1,181,적중,,59950,5055046,,,,,,,,1,,,
10182,회피,1,182,회피,,60550,5115596,,,,,,,,,1,,
10183,치명 확률,1,183,치명 확률,,61156,5176752,,,,,1,,,,,,
10184,치명 회피,1,184,치명 회피,,61768,5238520,,,,,,,1,,,,
10185,적중,1,185,적중,,62386,5300906,,,,,,,,1,,,
10186,회피,1,186,회피,,63010,5363916,,,,,,,,,1,,
10187,생명,1,187,생명,,63640,5427556,,,,1,,,,,,,
10188,치명 피해,1,188,치명 피해,,64276,5491832,,,,,,1,,,,,
10189,적중,1,189,적중,,64919,5556751,,,,,,,,1,,,
10190,회피,1,190,회피,,65568,5622319,,,,,,,,,1,,
10191,치명 확률,1,191,치명 확률,,66224,5688543,,,,,1,,,,,,
10192,치명 회피,1,192,치명 회피,,66886,5755429,,,,,,,1,,,,
10193,적중,1,193,적중,,67555,5822984,,,,,,,,1,,,
10194,회피,1,194,회피,,68231,5891215,,,,,,,,,1,,
10195,치명 확률,1,195,치명 확률,,68913,5960128,,,,,1,,,,,,
10196,치명 회피,1,196,치명 회피,,69602,6029730,,,,,,,1,,,,
10197,적중,1,197,적중,,70298,6100028,,,,,,,,1,,,
10198,회피,1,198,회피,,71001,6171029,,,,,,,,,1,,
10199,생명,1,199,생명,,71711,6242740,,,,1,,,,,,,
10200,치명 피해,1,200,치명 피해,,72428,6315168,,,,,,1,,,,,
10201,적중,1,201,적중,,73152,6388320,,,,,,,,1,,,
10202,회피,1,202,회피,,73884,6462204,,,,,,,,,1,,
