rune_id,t_name,slot,grade,set_id,ancient,ex_get,ignore_row
710111,체력 1번 룬,1,1,1,,0,1
710112,체력 1번 룬,1,2,1,,0,1
710113,체력 1번 룬,1,3,1,,0,1
710114,체력 1번 룬,1,4,1,,0,1
710115,체력 1번 룬,1,5,1,,0,1
710116,체력 1번 룬,1,6,1,,0,1
710117,체력 1번 룬,1,7,1,,0,1
710121,체력 2번 룬,2,1,1,,0,1
710122,체력 2번 룬,2,2,1,,0,1
710123,체력 2번 룬,2,3,1,,0,1
710124,체력 2번 룬,2,4,1,,0,1
710125,체력 2번 룬,2,5,1,,0,1
710126,체력 2번 룬,2,6,1,,0,1
710127,체력 2번 룬,2,7,1,,0,1
710131,체력 3번 룬,3,1,1,,0,1
710132,체력 3번 룬,3,2,1,,0,1
710133,체력 3번 룬,3,3,1,,0,1
710134,체력 3번 룬,3,4,1,,0,1
710135,체력 3번 룬,3,5,1,,0,1
710136,체력 3번 룬,3,6,1,,0,1
710137,체력 3번 룬,3,7,1,,0,1
710141,체력 4번 룬,4,1,1,,0,1
710142,체력 4번 룬,4,2,1,,0,1
710143,체력 4번 룬,4,3,1,,0,1
710144,체력 4번 룬,4,4,1,,0,1
710145,체력 4번 룬,4,5,1,,0,1
710146,체력 4번 룬,4,6,1,,0,1
710147,체력 4번 룬,4,7,1,,0,1
710151,체력 5번 룬,5,1,1,,0,1
710152,체력 5번 룬,5,2,1,,0,1
710153,체력 5번 룬,5,3,1,,0,1
710154,체력 5번 룬,5,4,1,,0,1
710155,체력 5번 룬,5,5,1,,0,1
710156,체력 5번 룬,5,6,1,,0,1
710157,체력 5번 룬,5,7,1,,0,1
710161,체력 6번 룬,6,1,1,,0,1
710162,체력 6번 룬,6,2,1,,0,1
710163,체력 6번 룬,6,3,1,,0,1
710164,체력 6번 룬,6,4,1,,0,1
710165,체력 6번 룬,6,5,1,,0,1
710166,체력 6번 룬,6,6,1,,0,1
710167,체력 6번 룬,6,7,1,,0,1
710211,기회 1번 룬,1,1,2,,0,1
710212,기회 1번 룬,1,2,2,,0,1
710213,기회 1번 룬,1,3,2,,0,1
710214,기회 1번 룬,1,4,2,,0,1
710215,기회 1번 룬,1,5,2,,0,1
710216,기회 1번 룬,1,6,2,,0,1
710217,기회 1번 룬,1,7,2,,0,1
710221,기회 2번 룬,2,1,2,,0,1
710222,기회 2번 룬,2,2,2,,0,1
710223,기회 2번 룬,2,3,2,,0,1
710224,기회 2번 룬,2,4,2,,0,1
710225,기회 2번 룬,2,5,2,,0,1
710226,기회 2번 룬,2,6,2,,0,1
710227,기회 2번 룬,2,7,2,,0,1
710231,기회 3번 룬,3,1,2,,0,1
710232,기회 3번 룬,3,2,2,,0,1
710233,기회 3번 룬,3,3,2,,0,1
710234,기회 3번 룬,3,4,2,,0,1
710235,기회 3번 룬,3,5,2,,0,1
710236,기회 3번 룬,3,6,2,,0,1
710237,기회 3번 룬,3,7,2,,0,1
710241,기회 4번 룬,4,1,2,,0,1
710242,기회 4번 룬,4,2,2,,0,1
710243,기회 4번 룬,4,3,2,,0,1
710244,기회 4번 룬,4,4,2,,0,1
710245,기회 4번 룬,4,5,2,,0,1
710246,기회 4번 룬,4,6,2,,0,1
710247,기회 4번 룬,4,7,2,,0,1
710251,기회 5번 룬,5,1,2,,0,1
710252,기회 5번 룬,5,2,2,,0,1
710253,기회 5번 룬,5,3,2,,0,1
710254,기회 5번 룬,5,4,2,,0,1
710255,기회 5번 룬,5,5,2,,0,1
710256,기회 5번 룬,5,6,2,,0,1
710257,기회 5번 룬,5,7,2,,0,1
710261,기회 6번 룬,6,1,2,,0,1
710262,기회 6번 룬,6,2,2,,0,1
710263,기회 6번 룬,6,3,2,,0,1
710264,기회 6번 룬,6,4,2,,0,1
710265,기회 6번 룬,6,5,2,,0,1
710266,기회 6번 룬,6,6,2,,0,1
710267,기회 6번 룬,6,7,2,,0,1
710311,효과 적중 1번 룬,1,1,3,,0,1
710312,효과 적중 1번 룬,1,2,3,,0,1
710313,효과 적중 1번 룬,1,3,3,,0,1
710314,효과 적중 1번 룬,1,4,3,,0,1
710315,효과 적중 1번 룬,1,5,3,,0,1
710316,효과 적중 1번 룬,1,6,3,,0,1
710317,효과 적중 1번 룬,1,7,3,,0,1
710321,효과 적중 2번 룬,2,1,3,,0,1
710322,효과 적중 2번 룬,2,2,3,,0,1
710323,효과 적중 2번 룬,2,3,3,,0,1
710324,효과 적중 2번 룬,2,4,3,,0,1
710325,효과 적중 2번 룬,2,5,3,,0,1
710326,효과 적중 2번 룬,2,6,3,,0,1
710327,효과 적중 2번 룬,2,7,3,,0,1
710331,효과 적중 3번 룬,3,1,3,,0,1
710332,효과 적중 3번 룬,3,2,3,,0,1
710333,효과 적중 3번 룬,3,3,3,,0,1
710334,효과 적중 3번 룬,3,4,3,,0,1
710335,효과 적중 3번 룬,3,5,3,,0,1
710336,효과 적중 3번 룬,3,6,3,,0,1
710337,효과 적중 3번 룬,3,7,3,,0,1
710341,효과 적중 4번 룬,4,1,3,,0,1
710342,효과 적중 4번 룬,4,2,3,,0,1
710343,효과 적중 4번 룬,4,3,3,,0,1
710344,효과 적중 4번 룬,4,4,3,,0,1
710345,효과 적중 4번 룬,4,5,3,,0,1
710346,효과 적중 4번 룬,4,6,3,,0,1
710347,효과 적중 4번 룬,4,7,3,,0,1
710351,효과 적중 5번 룬,5,1,3,,0,1
710352,효과 적중 5번 룬,5,2,3,,0,1
710353,효과 적중 5번 룬,5,3,3,,0,1
710354,효과 적중 5번 룬,5,4,3,,0,1
710355,효과 적중 5번 룬,5,5,3,,0,1
710356,효과 적중 5번 룬,5,6,3,,0,1
710357,효과 적중 5번 룬,5,7,3,,0,1
710361,효과 적중 6번 룬,6,1,3,,0,1
710362,효과 적중 6번 룬,6,2,3,,0,1
710363,효과 적중 6번 룬,6,3,3,,0,1
710364,효과 적중 6번 룬,6,4,3,,0,1
710365,효과 적중 6번 룬,6,5,3,,0,1
710366,효과 적중 6번 룬,6,6,3,,0,1
710367,효과 적중 6번 룬,6,7,3,,0,1
710411,견고 1번 룬,1,1,4,,0,1
