id,key,r_desc,default_min,default_max,single_min,single_max,status_max,comm_uopt_weight,rare_uopt_weight,hero_uopt_weight,lege_uopt_weight,comm_mopt_weight,rare_mopt_weight,hero_mopt_weight,lege_mopt_weight,comm_sopt_weight,rare_sopt_weight,hero_sopt_weight,lege_sopt_weight,comm_grind_weight,rare_grind_weight,hero_grind_weight,lege_grind_weight,grind_low_min,grind_low_max,grind_mid_min,grind_mid_max,grind_high_min,grind_high_max,grind_highest_min,grind_highest_max
none_1,none,옵션 없음,0,0,0,0,0,300,300,300,300,10,10,10,10,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
atk_multi_1,atk_multi,atk +d% (공격력 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
atk_add_1,atk_add,atk +n (공격력 +n),3,10,3,10,25,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,3,8,9,15,16,20,21,25
def_multi_1,def_multi,def +d% (방어력 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
def_add_1,def_add,def +n (방어력 +n),3,10,3,10,25,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,3,8,9,15,16,20,21,25
hp_multi_1,hp_multi,hp +d% (체력 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
hp_add_1,hp_add,hp +n (체력 +n),180,600,180,600,1500,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,180,300,301,750,751,1200,1201,1500
aspd_multi_1,aspd_multi,aspd +d% (공격속도 d% 추가),1,4,1,4,10,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
aspd_add_1,aspd_add,aspd +n (공격속도 +n),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
cri_chance_add_1,cri_chance_add,cri_chance +d% (치명 확률 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
cri_dmg_add_1,cri_dmg_add,cri_dmg +d% (치명 피해 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
cri_avoid_add_1,cri_avoid_add,cri_avoid +d% (피격 시 크리티컬 방어 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
hit_rate_add_1,hit_rate_add,hit_rate +d% (명중률 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
avoid_add_1,avoid_add,avoid +d% (회피율 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
accuracy_add_1,accuracy_add,accuracy +d% (효과 적중 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
resistance_add_1,resistance_add,resistance +d% (효과 저항 d% 추가),1,4,1,4,10,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,1,2,3,5,6,8,9,10
none_2,none,옵션 없음,0,0,0,0,0,300,300,300,300,10,10,10,10,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
atk_multi_2,atk_multi,atk +d% (공격력 d% 추가),4,10,1,4,99999,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
atk_add_2,atk_add,atk +n (공격력 +n),10,25,3,10,99999,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,3,8,9,15,16,20,21,25
def_multi_2,def_multi,def +d% (방어력 d% 추가),4,10,1,4,99999,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
def_add_2,def_add,def +n (방어력 +n),10,25,3,10,99999,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,3,8,9,15,16,20,21,25
hp_multi_2,hp_multi,hp +d% (체력 d% 추가),4,10,1,4,99999,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,5,6,8,9,10
hp_add_2,hp_add,hp +n (체력 +n),600,1500,180,600,99999,40,40,40,40,10,10,10,10,30,30,30,30,10,10,10,10,180,300,301,750,751,1200,1201,1500
