list_id,r_shop_num,ui_priority,tab_category,product_id,r_price,r_product,dependency,start_date,end_date,week_filter,
1000001,0,1,package,119990,9900,가격 비교용 상품,,2018-12-25 00:00:00,2119-01-01 00:00:00,,
1010001,1,1,package,82001,4400,다이아 900개,,,,sold_out,
1010002,1,2,package,82002,6000,"다이아 1,590개",,,,sold_out,
1010003,1,3,package,82003,12000,"다이아 3,300개",,,,sold_out,
1010004,1,4,package,82004,37000,"다이아 10,200개",,,,sold_out,
1010005,1,5,package,82005,65000,"다이아 17,700개",,,,sold_out,
1010006,1,6,package,82006,119000,"다이아 37,800개",,,,sold_out,
1010007,1,1,cash,82011,4400,다이아 900 + 180개,82001,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010008,1,2,cash,82012,6000,"다이아 1,590 + 318개",82002,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010009,1,3,cash,82013,12000,"다이아 3,300 + 660개",82003,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010010,1,4,cash,82014,37000,"다이아 10,200 + 2,040개",82004,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010011,1,5,cash,82015,65000,"다이아 17,700 + 3,540개",82005,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010012,1,6,cash,82016,119000,"다이아 37,800 + 7,560개",82006,2018-12-25 00:00:00,2019-01-01 00:00:00,sold_out,
1010013,1,1,cash,82021,4400,다이아 900 + 270개,82001,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010014,1,2,cash,82022,6000,"다이아 1,590 + 477개",82002,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010015,1,3,cash,82023,12000,"다이아 3,300 + 990개",82003,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010016,1,4,cash,82024,37000,"다이아 10,200 + 3,060개",82004,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010017,1,5,cash,82025,65000,"다이아 17,700 + 5,310개",82005,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010018,1,6,cash,82026,119000,"다이아 37,800 + 11,340개",82006,2019-12-20 00:00:00,2019-12-24 00:00:00,sold_out,
1010019,1,1,cash,82031,4400,다이아 900 + 450개,82001,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010020,1,2,cash,82032,6000,"다이아 1,590 + 795개",82002,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010021,1,3,cash,82033,12000,"다이아 3,300 + 1650개",82003,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010022,1,4,cash,82034,37000,"다이아 10,200 + 5,100개",82004,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010023,1,5,cash,82035,65000,"다이아 17,700 + 8,850개",82005,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010024,1,6,cash,82036,119000,"다이아 37,800 + 18,900개",82006,2020-08-08 00:00:00,2020-08-15 00:00:00,sold_out,
1010025,1,1,cash,82041,4400,다이아 900 + 900개,82001,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010026,1,2,cash,82042,6000,"다이아 1,590 + 1,590개",82002,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010027,1,3,cash,82043,12000,"다이아 3,300 + 3,300개",82003,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010028,1,4,cash,82044,37000,"다이아 10,200 + 10,200개",82004,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010029,1,5,cash,82045,65000,"다이아 17,700 + 17,700개",82005,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010030,1,6,cash,82046,119000,"다이아 37,800 + 37,800개",82006,2021-05-27 00:00:00,2021-06-01 00:00:00,sold_out,
1010031,1,1,package,122801,4400,"다이아 4,500개",,,,sold_out,
1010032,1,2,package,122802,6000,"다이아 7,950개",,,,sold_out,
1010033,1,3,package,122803,12000,"다이아 16,500개",,,,sold_out,
1010034,1,4,package,122804,37000,"다이아 51,000개",,,,sold_out,
