order,did,구분 설명아이디,구분명,드래곤 구분,성급,직군,속성,속성,덱 컨셉,,스킬 구분,스킬 이름,설명,소모마나,진화시 획득,우선순위,비고,,,,,,,,,,,,,,,,
1,120294,1202941,빛 고대신룡,고대신룡,5,공격,빛,,HP덱_5,,1.드래그 스킬,#N/A,#N/A,2,,3순위,,,,,,,,,,,,,,,,,
2,120294,1202942,빛 고대신룡,고대신룡,5,공격,빛,,HP덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
3,120294,1202943,빛 고대신룡,고대신룡,5,공격,빛,,HP덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
4,120294,1202945,빛 고대신룡,고대신룡,5,공격,빛,,HP덱_5,,5.드래그 강화,#N/A,#N/A,2,성룡,3순위,,,,,,,,,,,,,,,,,
5,120294,1202946,빛 고대신룡,고대신룡,5,공격,빛,,HP덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
6,120295,1202951,어둠 고대신룡,고대신룡,5,공격,어둠,,공격력덱_5,,1.드래그 스킬,#N/A,#N/A,3,,픽업테스트,,,,,,,,,,,,,,,,,
7,120295,1202952,어둠 고대신룡,고대신룡,5,공격,어둠,,공격력덱_5,,2.패시브 1,#N/A,#N/A,,,픽업테스트,,,,,,,,,,,,,,,,,
8,120295,1202953,어둠 고대신룡,고대신룡,5,공격,어둠,,공격력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
9,120295,1202955,어둠 고대신룡,고대신룡,5,공격,어둠,,공격력덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,3순위,,,,,,,,,,,,,,,,,
10,120295,1202956,어둠 고대신룡,고대신룡,5,공격,어둠,,공격력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
11,120344,1203441,빛 다크닉스,다크닉스,5,공격,빛,,크리티컬덱_5,,1.드래그 스킬,#N/A,#N/A,3,,2순위,,,,,,,,,,,,,,,,,
12,120344,1203442,빛 다크닉스,다크닉스,5,공격,빛,,크리티컬덱_5,,2.패시브 1,#N/A,#N/A,,,2순위,,,,,,,,,,,,,,,,,
13,120344,1203443,빛 다크닉스,다크닉스,5,공격,빛,,크리티컬덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,2순위,,,,,,,,,,,,,,,,,
14,120344,1203445,빛 다크닉스,다크닉스,5,공격,빛,,크리티컬덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,2순위,,,,,,,,,,,,,,,,,
15,120344,1203446,빛 다크닉스,다크닉스,5,공격,빛,,크리티컬덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
16,120345,1203451,어둠 다크닉스,다크닉스,5,공격,어둠,,방어력덱_5,,1.드래그 스킬,#N/A,#N/A,3,,3순위,,,,,,,,,,,,,,,,,
17,120345,1203452,어둠 다크닉스,다크닉스,5,공격,어둠,,방어력덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
18,120345,1203453,어둠 다크닉스,다크닉스,5,공격,어둠,,방어력덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
19,120345,1203455,어둠 다크닉스,다크닉스,5,공격,어둠,,방어력덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,3순위,,,,,,,,,,,,,,,,,
20,120345,1203456,어둠 다크닉스,다크닉스,5,공격,어둠,,방어력덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
21,120404,1204041,빛 흑룡,흑룡,5,공격,빛,,도트덱_5,,1.드래그 스킬,#N/A,#N/A,3,,1순위,,,,,,,,,,,,,,,,,
22,120404,1204042,빛 흑룡,흑룡,5,공격,빛,,도트덱_5,,2.패시브 1,#N/A,#N/A,,,1순위,,,,,,,,,,,,,,,,,
23,120404,1204043,빛 흑룡,흑룡,5,공격,빛,,도트덱_5,,3.패시브 2,#N/A,#N/A,,해츨링,3순위,,,,,,,,,,,,,,,,,
24,120404,1204045,빛 흑룡,흑룡,5,공격,빛,,도트덱_5,,5.드래그 강화,#N/A,#N/A,3,성룡,1순위,,,,,,,,,,,,,,,,,
25,120404,1204046,빛 흑룡,흑룡,5,공격,빛,,도트덱_5,,6.리더 스킬,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
26,120223,1202231,불 번개고룡,번개고룡,5,공격,불,,공속덱_5,,1.드래그 스킬,#N/A,#N/A,2,,픽업테스트,,,,,,,,,,,,,,,,,
27,120223,1202232,불 번개고룡,번개고룡,5,공격,불,,공속덱_5,,2.패시브 1,#N/A,#N/A,,,3순위,,,,,,,,,,,,,,,,,
