slime,t_name,material_type,type,res,test,scale,giving_exp,req_gold_per_mtrl,icon,mg_weight,fp_weight,pick_weight,sl_weight,rarity,birthgrade,category,role,attr,char_type,skill,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,t_desc
129011,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,3500,500,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,1,none,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129021,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,7000,1200,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,2,none,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,상큼한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129031,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,15000,3000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,3,none,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129041,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,30000,6000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,4,none,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129051,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_03/exp_slime_@_03.spine,0,0.8,60000,12000,res/ui/icons/cha/exp_slime_@_03.png,0,0,0,10,common,5,none,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129012,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,3500,500,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,1,none,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129022,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_01/exp_slime_@_01.spine,0,0.8,7000,1200,res/ui/icons/cha/exp_slime_@_01.png,0,0,0,10,common,2,none,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,은은한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129032,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,15000,3000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,3,none,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129042,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_02/exp_slime_@_02.spine,0,0.8,30000,6000,res/ui/icons/cha/exp_slime_@_02.png,0,0,0,10,common,4,none,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129052,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_03/exp_slime_@_03.spine,0,0.8,60000,12000,res/ui/icons/cha/exp_slime_@_03.png,0,0,0,10,common,5,none,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
