id,comment,atd_id,step,tag_hot,t_desc,item_id,value,r_name
5000101,open_event,50001,1,,,700001,500,다이아
5000102,open_event,50001,2,,,700002,100000,골드
5000103,open_event,50001,3,,,700007,500,자수정
5000104,open_event,50001,4,,,703016,1,신비의 알
5000105,open_event,50001,5,,,700001,500,다이아
5000106,open_event,50001,6,,,700002,150000,골드
5000107,open_event,50001,7,,,703006,1,영웅의 알
5000201,open_event,50002,1,,,700001,500,다이아
5000202,open_event,50002,2,,,700002,100000,골드
5000203,open_event,50002,3,,,700007,500,자수정
5000204,open_event,50002,4,,,703016,1,신비의 알
5000205,open_event,50002,5,,,700001,500,다이아
5000206,open_event,50002,6,,,700002,150000,골드
5000207,open_event,50002,7,,,703005,1,전설의 알
5000301,newbie,50003,1,,드빌M에 오신걸 환영합니다!,700001,500,다이아
5000302,newbie,50003,2,,"내일 접속하시면
5성 전설 드래곤을 드립니다.",700002,1000000,골드
5000303,newbie,50003,3,true,"내일 접속하시면
공격형 드래곤을 부화할 수 있는
맹수의 알을 드립니다.",703005,1,전설의 알
5000304,newbie,50003,4,,"내일 접속하시면
회복형 드래곤을 부화할 수 있는
치유의 알을 드립니다.",703013,1,공격형 알
5000305,newbie,50003,5,,"내일 접속하시면
지원형 드래곤을 부화할 수 있는
보호의 알을 드립니다.",703014,1,회복형 알
5000306,newbie,50003,6,,"내일 접속하시면
방어형 드래곤을 부화할 수 있는
수호의 알을 드립니다.",703015,1,지원형 알
5000307,newbie,50003,7,,"7일차 접속 완료! 
드빌M에 완벽히 적응하신 것을 
환영합니다.",703012,1,방어형 알
5000401,comeback,50004,1,,,700001,1000,다이아
5000402,comeback,50004,2,,,700002,1000000,골드
5000403,comeback,50004,3,,,700401,24,자동줍기 1일
5000404,comeback,50004,4,,,700012,5,캡슐코인
5000405,comeback,50004,5,,,703005,1,전설의 알
5000501,event_old,50005,1,,,700305,1,10+1 고급소환권
5000502,event_old,50005,2,,,779154,1,★5 슈퍼 슬라임
5000503,event_old,50005,3,,,779154,1,★5 슈퍼 슬라임
5000504,event_old,50005,4,,,700002,1000000,골드
5000505,event_old,50005,5,,,779255,1,전설 스킬 슬라임
5000506,event_old,50005,6,,,779255,1,전설 스킬 슬라임
