did,t_name,c_name,type,c_appearance,res,test,lair,underling,scale,scale_1,scale_2,scale_3,icon,summon_add,mg_weight,fp_weight,pick_weight,sl_weight,lm_weight,rd_weight,c_coupon,category,rarity,birthgrade,role,rune,attr,skill_basic,skill_active,skill_metamorphosis,skill_1,skill_2,skill_3,skill_3_type,skill_leader,skill_leader_type,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,accuracy,resistance,relation_point,t_desc,r_limited
120011,파워드래곤,땅 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/powerdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,earth,200006,200111,,200121,200131,200141,new,200151,hatch,1489,1947,159728,0,10,50,0,0,0,0,0,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.,0
120012,파워드래곤,물 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/powerdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,water,200000,200112,,200122,200132,200142,new,200152,hatch,1620,2520,110728,0,10,50,0,0,0,0,0,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.,0
120014,파워드래곤,빛 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/powerdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,orange,light,200006,200114,,200124,200134,200144,new,200154,hatch,1461,2562,116424,0,10,50,0,0,0,0,0,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.,0
120015,파워드래곤,어둠 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/powerdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,tanker,yellow,dark,200000,200115,,200125,200135,200145,new,200155,hatch,1724,1781,154080,0,10,50,0,0,0,0,0,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.,0
120221,번개고룡,땅 번개고룡,lightningdragon,1,res/character/dragon/lightningdragon_@_#/lightningdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/lightningdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,pink,earth,200003,202211,,202221,202231,202241,skill_active,,,2347,2026,102082,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 무시무시한 번개를 자유자재로 조종하며 의로운 성격을 지녔다.,0
120223,번개고룡,불 번개고룡,lightningdragon,1,res/character/dragon/lightningdragon_@_#/lightningdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/lightningdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,blue,fire,200003,202213,,202223,202233,202243,skill_active,,,2531,1906,97210,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 무시무시한 번개를 자유자재로 조종하며 의로운 성격을 지녔다.,0
120224,번개고룡,빛 번개고룡,lightningdragon,1,res/character/dragon/lightningdragon_@_#/lightningdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/lightningdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,pink,light,200003,202214,,202224,202234,202244,skill_active,,,2429,2016,89010,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 무시무시한 번개를 자유자재로 조종하며 의로운 성격을 지녔다.,0
120225,번개고룡,어둠 번개고룡,lightningdragon,1,res/character/dragon/lightningdragon_@_#/lightningdragon_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/lightningdragon_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,red,dark,200003,202215,,202225,202235,202245,skill_active,,,2644,1781,96010,0,10,50,0,0,0,0,0,160,암흑의 수호자 다크닉스를 봉인시킨 사대신룡 중 하나. 무시무시한 번개를 자유자재로 조종하며 의로운 성격을 지녔다.,0
120294,고대신룡,빛 고대신룡,godaeshinryong,1,res/character/dragon/godaeshinryong_@_#/godaeshinryong_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/godaeshinryong_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,red,light,200000,202914,,202924,202934,202944,skill_active,202954,hatch,2580,1677,103081,0,10,50,0,0,0,0,0,160,"용의 신전에 사는 용. 신의 힘을 가지고 있는 용이라고 전해진다. 주로 하늘과 닿아있는 곳, 밝은 곳에서 주로 볼 수 있다. 사람들에게는 신의 대행자라고 주로 알려져있다.",0
120295,고대신룡,어둠 고대신룡,godaeshinryong,1,res/character/dragon/godaeshinryong_@_#/godaeshinryong_@_#.spine,2,1,0,0.8,0.8,0.8,0.8,res/ui/icons/cha/godaeshinryong_@_#.png,,10,0,10,0,0,10,0,none,legend,5,dealer,red,dark,200000,202915,,202925,202935,202945,skill_active,202955,hatch,2744,1233,126176,0,10,50,0,0,0,0,0,160,"용의 신전에 사는 용. 신의 힘을 가지고 있는 용이라고 전해진다. 주로 하늘과 닿아있는 곳, 밝은 곳에서 주로 볼 수 있다. 사람들에게는 신의 대행자라고 주로 알려져있다.",0
