list_id,event_type,event_id,t_name,ui_priority,full_popup,user_lv,start_date,end_date,target_server,target_language,feature,icon,banner,lobby_banner,url,package_name,target_app_version
1,banner,,Featured\\nPOCKET DRAGONS,1,,,2018-03-23 00:00:00,2018-03-26 00:00:00,America;Asia;Japan,,,res/ui/event/list_cross_promotion.png,event_cross_promotion.ui,,https://ref.ad-brix.com/v1/referrallink?ak=417793821&ck=1374477,,
2,event_exchange,limited,수집 이벤트,2,,,,,,,,res/ui/event/list_exchange.png,,,,,
3,event_alphabet,limited,알파벳 이벤트,3,,,2023-02-17 00:00:00,,,,,res/ui/event/list_alphabet.png,,,,,
4,event_dice,limited,주사위 이벤트,3,,,,,,,,res/ui/event/list_dice.png,,,,,
5,event_gold_dungeon,limited,황금 던전 이벤트,3,,,,,,,,res/ui/event/list_gold_dungeon.png,,,,,
6,event_match_card,limited,카드 짝 맞추기 이벤트,3,,,,,,,,res/ui/event/list_match_card.png,,,,,
7,event_mandraquest,limited,만드라고라 퀘스트,3,,,,,,,,res/ui/event/list_mandragora_quest.png,,,,,
8,event_advent,limited,깜짝 출현 이벤트,3,,,,,,,,res/ui/event/list_advent.png,,,,,
9,event_bingo,limited,빙고 이벤트,3,,,,,,,,res/ui/event/list_bingo.png,,,,,
10,event_image_quiz,limited,드래곤 이미지 퀴즈,3,,,,,,,,res/ui/event/list_image_quiz.png,,,,,
11,event_rune_festival,limited,할로윈 이벤트,1,,,,,,,,res/ui/event/list_rune_festival.png,,,,,
12,event_lucky_fortune_bag,limited,복주머니 이벤트,3,,,,,,,,res/ui/event/list_lucky_bag.png,,,,,
13,event_roulette,limited,돌림판 이벤트,1,,,,,,,,res/ui/event/list_roulette.png,,,,,
14,event_roulette_reward,limited,돌림판 이벤트,1,,,,,,,,res/ui/event/list_roulette.png,,,,,
15,event_daily_quest,760005,일일 퀘스트 이벤트,,,,,,,,,res/ui/icons/item/reinforce_point.png,,,,,
16,event_arena_play,limited,콜로세움 참여 이벤트,3,30,,2023-05-31 00:00:00,2023-06-07 00:00:00,,,,res/ui/event/list_event_update_reward.png,,,,,
17,event_raid_play,limited,레이드 참여 이벤트,3,30,,,,,,,res/ui/event/list_raid_reward.png,,,,,
18,event_incarnation_of_sins,limited,죄악의 화신 토벌작전,2,,,,,,,,res/ui/event/list_incarnation_of_sins.png,event_incarnation_of_sins.ui,,,,
19,event_incarnation_of_sins_popup,limited,죄악의 화신 토벌작전,,10,,,,,,,res/ui/event/list_incarnation_of_sins.png,event_incarnation_of_sins_popup.ui,,,,
20,event_dragon_launch_legend,121651;121653;121654,신규 전설 드래곤,2,0,,2021-06-19 00:00:00,2021-06-21 00:00:00,,,,res/ui/event/list_dragon_launch_legend.png,event_dragon_launch_legend.ui,,,,
21,fevertime,,핫타임,13,,,,,,,,res/ui/event/list_fevertime.png,,,,,
22,daily_mission,clan,클랜 출석 이벤트,14,,,,,,,,res/ui/event/list_clan_quest.png,,,,,
23,attendance_event,50018,복귀 유저 출석체크 이벤트,11,,,,,,,,res/ui/event/list_attendance_return.png,,,,,
24,attendance_event,50032,복귀 유저 출석 이벤트,11,,,,,,,,res/ui/event/list_attendance_return.png,,,,,
25,attendance_event,50031,신규 유저 출석 이벤트,11,,,,,,,,res/ui/event/list_attendence_02.png,,,,,
26,attendance_event,50037,복귀 유저 출석 이벤트,11,,,,,,,,res/ui/event/list_attendance_return.png,,,,,
27,attendance_event,50036,신규 유저 출석 이벤트,11,,,,,,,,res/ui/event/list_attendence_02.png,,,,,
28,attendance_event,50022,스페셜 출석체크 이벤트,11,,,,,,,,res/ui/event/list_attendence_01.png,,,,,
29,attendance_event,50015,글로벌 3주년 스페셜 출석,11,,,,,,,,res/ui/event/list_1st_anniversary.png,,,,,
30,attendance_event,50016,스페셜 출석체크 이벤트,11,,,2021-02-25 00:00:00,2021-03-05 00:00:00,,,,res/ui/event/list_attendence_02.png,,,,,
31,attendance_event,50041,바이델 축제 출석 이벤트,11,,,2023-04-28 00:00:00,2023-05-12 00:00:00,,,,res/ui/event/list_attendance_children.png,,,,,
32,attendance_event,50033,5주년 출석 이벤트,11,,,2022-08-25 00:00:00,2022-09-08 00:00:00,,,,res/ui/event/list_attendance_7day.png,,,,,
33,attendance_event,50047,눈꽃축제 출석체크 이벤트,11,,,2023-12-12 00:00:00,2024-01-03 00:00:00,,,,res/ui/event/list_attendance_new.png,,,,,
