event_version,price_type,step,mail_content_1,price_1,buy_count_1,mail_content_2,price_2,buy_count_2,mail_content_3,price_3,buy_count_3,mail_content_4,price_4,buy_count_4,mail_content_5,price_5,buy_count_5,mail_content_6,price_6,buy_count_6,mail_content_7,price_7,buy_count_7,mail_content_8,price_8,buy_count_8,mail_content_9,price_9,buy_count_10,mail_content_10,price_10,mail_content_11,price_11,buy_count_11,mail_content_12,price_12,buy_count_12,mail_content_13,price_13,buy_count_13,mail_content_14,price_14,buy_count_14,max_buy_count
2017chuseok,use,6,"703016;1,700002;30000",1000,,"703012;1,700002;50000",2500,,"703013;1,700002;100000",5000,,"703014;1,700002;150000",10000,,"703015;1,700002;250000",15000,,"703005;1,700002;500000",20000,,,,,,,,,,,,,,,,,,,,,,,,,
2017halloween,use,12,779134;1,300,,700002;500000,600,,700001;500,1200,,703016;2,2100,,703010;2,3300,,703011;2,4500,,779144;1,6500,,700002;1000000,8500,,700001;1000,11000,,703016;4,14000,703010;4,18000,,703011;4,22000,,,,,,,,
2017maple,use,12,700001;500,300,,703012;2,600,,703013;2,1200,,703014;2,2100,,703015;2,3300,,703004;2,4500,,700001;1000,6500,,703012;4,8500,,703013;4,11000,,703014;4,14000,703015;4,18000,,703004;4,22000,,,,,,,,
2018snowman,use,12,703007;1,200,,703008;1,400,,703009;1,800,,703010;1,1400,,703011;1,2200,,703006;1,3000,,703007;3,4000,,703008;3,5500,,703009;3,7000,,703010;3,9000,703011;3,12000,,703019;1,15000,,,,,,,,
2018chocolate,use,12,703012;1,300,,703013;1,600,,703014;1,1000,,703015;1,1800,,703004;1,2700,,703002;1,3600,,703012;3,5000,,703013;3,7000,,703014;3,9000,,703015;3,11500,703004;3,15000,,703003;1,18500,,,,,,,,
2018cherryblossom,use,12,703012;1,300,,703013;1,600,,703014;1,1000,,703015;1,1800,,703004;1,2700,,703002;1,3600,,703012;3,5000,,703013;3,7000,,703014;3,9000,,703015;3,11500,703004;3,15000,,703003;1,18500,,,,,,,,
2018firstanniversary,use,12,703012;1,300,,703013;1,600,,703014;1,1000,,703015;1,1800,,703004;1,2700,,703019;1,3600,,703012;3,5000,,703013;3,7000,,703014;3,9000,,703015;3,11500,703004;3,15000,,703001;1,18500,,,,,,,,
2018maple,use,12,703020;2,300,,703022;2,600,,703021;2,1000,,703010;2,1800,,703011;2,2700,,703019;1,3600,,779144;1,5000,,779144;1,7000,,779144;1,9000,,779144;1,11500,700002;1000000,15000,,779154;1,18500,,,,,,,,
2018santahat,use,12,703020;2,300,,703022;2,600,,703021;2,1000,,703010;2,1800,,703011;2,2700,,703019;1,3600,,779144;1,5000,,779144;1,7000,,779144;1,9000,,779144;1,11500,700002;1000000,15000,,779154;1,18500,,,,,,,,
2019chocolate,use,12,703012;1,300,,703013;1,600,,703014;1,1000,,703015;1,1800,,703004;1,2700,,703019;1,3600,,703012;3,5000,,703013;3,7000,,703014;3,9000,,703015;3,11500,703004;3,15000,,703003;1,18500,,,,,,,,
2019candy,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703003;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2019icecream,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703003;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2019halloween,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703003;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2019bell,get,12,703026;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703003;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2020candy,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703005;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2020balloon,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703005;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2020maple,get,12,703016;1,1000,,703004;1,3000,,703019;1,5000,,703003;1,7000,,703016;3,9000,,703004;3,11000,,703019;1,13000,,703005;1,15000,,700002;300000,17000,,700002;500000,19000,700002;1000000,21000,,700001;1000,23000,,,,,,,,
2021cake,get,12,703016;1,250,,703004;1,750,,703019;1,1250,,703003;1,1750,,703016;3,2250,,703004;3,2750,,703019;1,3250,,703005;1,3750,,700002;300000,4250,,700002;500000,4750,700002;1000000,5250,,700001;1000,5750,,,,,,,,
2021toy,get,12,700811;3,1000,,700811;3,3000,,700811;5,5000,,700811;5,7000,,700811;7,9000,,700811;7,11000,,700811;10,13000,,700811;10,15000,,700316;1,17000,,700316;3,19000,700316;5,21000,,700001;3000,23000,,,,,,,,
2021ornament,get,12,700811;6,1000,,700811;6,3000,,700811;10,5000,,700811;10,7000,,700811;14,9000,,700811;14,11000,,700811;20,13000,,700811;20,15000,,700316;1,17000,,700316;3,19000,700316;5,21000,,700001;3000,23000,,,,,,,,
2022ornament,get,12,700811;6,1000,,700811;6,3000,,700811;10,5000,,700811;10,7000,,700811;14,9000,,700811;14,11000,,700811;20,13000,,700811;20,15000,,700002;5050000,17000,,700014;50,19000,700651;1,21000,,700001;3000,23000,,,,,,,,
2021seal,get,12,700001;1000,1000,,700001;1000,3000,,700001;1000,5000,,700001;1000,7000,,700001;2000,9000,,700001;2000,11000,,700001;2000,13000,,700001;2000,15000,,700001;3000,17000,,700001;3000,19000,700001;3000,21000,,700001;3000,23000,,,,,,,,
2021anniversary,get,12,779255;1,1000,,760005;100,3000,,779255;1,5000,,760005;120,7000,,779255;2,9000,,760005;120,11000,,779255;2,13000,,760005;140,15000,,700001;3000,17000,,700001;3000,19000,700001;3000,21000,,700001;3000,23000,,,,,,,,
2022anniversary,get,12,703005; 1,1000,,779255;1,3000,,760005;40,5000,,700001;3000,7000,,779255;1,9000,,760005;40,11000,,700001;3000,13000,,703001;1,15000,,700001;3000,17000,,700001;3000,19000,700001;3000,21000,,700001;3000,23000,,,,,,,,
2018mandragora,play,12,700001;200,1,,703016;1,3,,703010;1,6,,703011;1,10,,703004;1,15,,760004;40,20,,700001;400,25,,703016;2,30,,703010;2,35,,703011;2,40,703004;2,45,,760005;40,50,,,,,,,,
2018_02_mandragora,play,12,700001;200,1,,703016;1,3,,703010;1,6,,703011;1,10,,703004;1,15,,760004;40,20,,700001;400,25,,703016;2,30,,703010;2,35,,703011;2,40,703004;2,45,,760005;40,50,,,,,,,,
2018_08_mandragora,play,12,700001;200,1,,703016;1,3,,703010;1,6,,703011;1,10,,703004;1,15,,760004;40,20,,700001;400,25,,703016;2,30,,703010;2,35,,703011;2,40,703004;2,45,,760005;40,50,,,,,,,,
2018_09_mandragora,play,12,700001;200,1,,703016;1,3,,703010;1,6,,703011;1,10,,703004;1,15,,760004;40,20,,700001;400,25,,703016;2,30,,703010;2,35,,703011;2,40,703004;2,45,,760005;40,50,,,,,,,,
2018_08_mandragora_test,play,12,700001;200,1,,703016;1,3,,703010;1,6,,703011;1,10,,703004;1,15,,760004;40,20,,700001;400,25,,703016;2,30,,703010;2,35,,703011;2,40,703004;2,45,,760005;40,50,,,,,,,,
2020_05_gold_dungeon,play,12,700002;300000,1,,700002;400000,3,,700002;600000,6,,700002;800000,10,,700001;1000,15,,703005;1,20,,703016;3,25,,703004;3,30,,703019;1,35,,703003;1,40,700001;2000,45,,703005;1,50,,,,,,,,
2022_03_gold_dungeon,play,12,700002;200000,1,,700002;400000,3,,700002;600000,6,,700002;800000,10,,700002;1000000,15,,700001;1500,20,,779255;1,25,,760005;40,30,,779255;2,35,,760005;60,40,700001;3000,45,,703001;1,50,,,,,,,,
2022_07_gold_dungeon,play,12,700002;200000,1,,700002;400000,3,,700002;600000,6,,700002;800000,10,,700002;1000000,15,,700001;1500,20,,779255;1,25,,760005;40,30,,779255;2,35,,760005;60,40,700001;3000,45,,703001;1,50,,,,,,,,
2023_04_gold_dungeon,play,12,700002;200000,1,,700002;400000,3,,700002;600000,6,,700002;800000,10,,700002;1000000,15,,700001;1500,20,,779255;1,25,,760005;40,30,,779255;2,35,,760005;60,40,700001;3000,45,,703001;1,50,,,,,,,,
2023_08_gold_dungeon,play,12,700002;500000,1,,700002;1000000,3,,700002;1500000,6,,700002;2000000,10,,700002;3000000,15,,778004;1,20,,779255;1,25,,760005;40,30,,779255;2,35,,760005;60,40,700001;3000,45,,779265;1,50,,,,,,,,
2024_01_gold_dungeon,play,12,700002;200000,1,,700002;400000,3,,700002;600000,6,,700002;800000,10,,700002;1000000,15,,700001;1500,20,,779255;1,25,,760005;40,30,,779255;2,35,,760005;60,40,700001;3000,45,,703001;1,50,,,,,,,,
1805_card,,8,779255;1,150,1,779154;1,135,1,779245;1,30,2,779144;1,27,2,779235;1,6,3,779134;1,5,3,700002;50000,3,50,700101;50,1,120,,,,,,,,,,,,,,,,,,
2018worldcup,use,12,703012;1,300,,703013;1,600,,703014;1,1000,,703015;1,1800,,703004;1,2700,,703019;1,3600,,703012;3,5000,,703013;3,7000,,703014;3,9000,,703015;3,11500,703004;3,15000,,703003;1,18500,,,,,,,,
2018mandraquest,,13,700101;150,,,700002;100000,,,700001;100,,,700101;300,,,700002;200000,,,700001;200,,,703019;1,,,700101;450,,,700002;300000,,,700001;3000,,700101;300,,,700002;200000,,,700001;200,,,,,,
2019mandraquest,,13,700101;150,,,700002;100000,,,700001;100,,,700101;300,,,700002;200000,,,700001;200,,,703019;1,,,700101;450,,,700002;300000,,,703005;1,,700101;300,,,700002;200000,,,700001;200,,,,,,
2020mandraquest,,14,700017;50000,,,703004;1,,,700101;600,,,700002;400000,,,700001;400,,,703019;1,,,700101;750,,,700002;500000,,,700001;500,,,703003;1,,700101;1050,,,700002;700000,,,700001;700,,,703005;1,,,
1810_card,,8,703003;1,35,1,703019;1,30,1,703010;1,7,2,703011;1,7,2,703004;1,7,3,703016;1,5,3,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
1811_card,,8,703003;1,35,1,703019;1,30,1,703010;1,7,2,703011;1,7,2,703004;1,7,3,703016;1,5,3,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
1907_card,,8,703003;1,35,1,703019;1,30,1,703010;1,7,2,703011;1,7,2,703004;1,7,3,703016;1,5,3,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
1912_card,,8,703003;1,35,1,703019;1,30,1,703010;1,7,2,703011;1,7,2,703004;1,7,3,703016;1,5,3,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2006_card,,8,703005;1,35,1,703003;1,30,1,703010;1,7,2,703011;1,7,2,703004;1,7,3,703016;1,5,3,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2201_card,,8,703001;1,35,1,760005;50,30,2,779255;1,15,2,703011;1,5,5,703010;1,5,5,703004;1,5,5,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2208_card,,8,703001;1,35,1,760005;50,30,2,779255;1,15,2,703011;1,5,5,703010;1,5,5,703004;1,5,5,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2209_card,,8,703001;1,80,2,741041;1,60,3,760005;40,30,7,779215;1,15,12,700330;1,2,10,703004;1,1,10,700002;50000,1,200,700101;100,1,200,,,,,,,,,,,,,,,,,,
2212_card,,8,703041;1,35,1,760005;50,30,2,779255;1,15,2,703011;1,5,5,703010;1,5,5,703004;1,5,5,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2305_card,,8,703041;1,35,1,760005;50,30,2,779255;1,15,2,703011;1,5,5,703010;1,5,5,703004;1,5,5,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
2307_card,,8,703041;1,35,1,760005;50,30,2,779255;1,15,2,703011;1,5,5,703010;1,5,5,703004;1,5,5,700002;50000,2,25,700101;50,1,30,,,,,,,,,,,,,,,,,,
201901bingo,,5,703004;3,1,,700002;2000000,3,,703003;1,6,,779255;1,9,,703003;1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201905bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703003;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703003;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201911bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703003;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202001bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703005;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202004bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703005;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202007bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703005;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202101bingo,,5,703004;3,6,,700002;2000000,12,,703003;1,18,,779255;1,24,,703005;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202104bingo,,5,700316;1,6,,700001;3000,12,,703003;1,18,,779255;1,24,,778004;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202106bingo,,5,700316;1,6,,700001;3000,12,,703003;1,18,,779255;1,24,,700651;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202111bingo,,5,700316;1,6,,700001;3000,12,,703003;1,18,,779255;1,24,,703005;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202202bingo,,5,700316;1,6,,700001;3000,12,,703003;1,18,,779255;1,24,,741144;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202208bingo,,5,700002;1000000,6,,700711;30,12,,700001;5000,18,,760451;20,24,,703001;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202211bingo,,5,700711;20,6,,700330;10,12,,700001;3000,18,,703005;1,24,,703041;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202303bingo,,5,700711;20,6,,700330;10,12,,700001;3000,18,,703005;1,24,,703041;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202309bingo,,5,700711;20,6,,700330;10,12,,700001;3000,18,,703005;1,24,,703041;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202312bingo,,5,700711;20,6,,700330;10,12,,700001;3000,18,,703005;1,24,,703041;1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201905illusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020imagequiz,get,10,703016;5,10000,,700002;1000000,30000,,703004;5,50000,,700001;1000,70000,,700305;1,90000,,703003;1,110000,,779255;1,130000,,704900;100,150000,,700001;2000,170000,,703005;1,200000,,,,,,,,,,,,,
2020imagequiz_play,play,3,730504;1,15,,730105;1,25,,730205;1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012imagequiz,get,10,703016;5,10000,,700002;1000000,30000,,703004;5,50000,,700001;1000,70000,,700305;1,90000,,703003;1,110000,,779255;1,130000,,704900;100,150000,,700001;2000,170000,,703005;1,200000,,,,,,,,,,,,,
202012imagequiz_play,play,3,770761;1,15,,770762;1,25,,770763;1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012incarnationofsins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202109arena_play,,5,700330;10,10,,700330;10,20,,700330;10,30,,700330;10,50,,700330;10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202109arena_win,,5,700801;100,10,,703001;1,20,,779255;6,30,,760005;400,50,,700001;20000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021halloween,get,12,700020;150,1000,,700020;150,3000,,700020;150,5000,,700020;150,7000,,700020;200,9000,,700020;200,11000,,700020;200,13000,,700020;200,15000,,700020;250,17000,,700020;250,19000,700020;250,21000,,700020;250,23000,,,,,,,,
202207arena_play,,5,700330;10,10,,700330;10,20,,700330;10,30,,700330;10,50,,700330;10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202207arena_win,,5,700711;1,10,,703001;1,20,,779255;6,30,,760005;400,50,,700001;20000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022halloween,get,12,700020;100,1000,,700020;100,3000,,700020;100,5000,,700020;100,7000,,700020;200,9000,,700020;200,11000,,700020;200,13000,,700020;200,15000,,700020;200,17000,,700020;200,19000,700020;200,21000,,700020;200,23000,,,,,,,,
202211arena_play,,5,700330;10,10,,700330;10,20,,700330;10,30,,700330;10,50,,700330;10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202211arena_win,,5,700711;100,10,,703001;1,20,,779255;6,30,,760005;400,50,,700001;20000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022christmas,get,12,700811;6,1000,,700811;6,3000,,700811;10,5000,,700811;10,7000,,700811;14,9000,,700811;14,11000,,700811;20,13000,,700811;20,15000,,700316;1,17000,,700316;3,19000,700316;5,21000,,771804;1,23000,,,,,,,,
202303arena_play,,5,700330;10,5,,700330;10,10,,700330;10,15,,700330;10,25,,700330;10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202303arena_win,,5,700711;50,5,,703001;1,10,,779255;3,15,,760005;200,25,,700001;10000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023whiteday,get,12,700020;100,1000,,700020;100,3000,,700020;100,5000,,700020;100,7000,,700020;200,9000,,700020;200,11000,,700020;200,13000,,700020;200,15000,,700020;200,17000,,700020;200,19000,700020;200,21000,,700020;200,23000,,,,,,,,
202303raid_play,,5,700711;50,2,,703001;1,4,,779255;3,8,,760005;200,14,,700001;10000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202303raid_highscore,,5,700330;20,1000000,,700330;20,2000000,,700330;20,4000000,,700330;20,7000000,,700330;20,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401raid_play,,5,700711;50,2,,703001;1,4,,779255;2,8,,760005;200,14,,700001;10000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401raid_highscore,,5,700330;20,1000000,,700330;20,2000000,,700330;20,4000000,,700330;20,7000000,,700330;20,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023weidel,get,12,700811;6,1000,,700811;6,3000,,700811;10,5000,,700811;10,7000,,700811;14,9000,,700811;14,11000,,700811;20,13000,,700811;20,15000,,700316;1,17000,,700316;3,19000,700316;5,21000,,771882;1,23000,,,,,,,,
202305arena_play,,5,700330;10,5,,700330;10,10,,700330;10,15,,700330;10,25,,700330;10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202305arena_win,,5,700711;50,5,,703001;1,10,,779255;3,15,,760005;200,25,,700001;10000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023summer,get,12,700020;100,1000,,700020;100,3000,,700020;100,5000,,700020;100,7000,,700020;200,9000,,700020;200,11000,,700020;200,13000,,700020;200,15000,,700020;200,17000,,700020;200,19000,700020;200,21000,,700020;200,23000,,,,,,,,
