bid,category,r_desc,item_id,val,pick_weight,r_real_ratio,view,r_desc,val_min,val_max,grade
101,normal,4500 골드,700002,4500,43600,43.6,0,,,,
102,normal,9000 골드,700002,9000,5450,5.45,0,,,,
103,normal,18000 골드,700002,18000,2725,2.725,0,,,,
104,normal,27000 골드,700002,27000,1635,1.635,0,,,,
105,normal,90000 골드,700002,90000,1090,1.09,1,,,,
106,normal,15 자수정,700007,15,11600,11.6,0,,,,
107,normal,30 자수정,700007,30,1450,1.45,0,,,,
108,normal,60 자수정,700007,60,725,0.725,0,,,,
109,normal,90 자수정,700007,90,435,0.435,0,,,,
110,normal,300 자수정,700007,300,290,0.29,1,,,,
111,normal,15 날개,700101,15,11600,11.6,0,,,,
112,normal,30 날개,700101,30,1450,1.45,0,,,,
113,normal,60 날개,700101,60,725,0.725,0,,,,
114,normal,90 날개,700101,90,435,0.435,0,,,,
115,normal,300 날개,700101,300,290,0.29,1,,,,
116,normal,15 다이아,700001,15,11600,11.6,0,,,,
117,normal,30 다이아,700001,30,1450,1.45,0,,,,
118,normal,60 다이아,700001,60,725,0.725,0,,,,
119,normal,90 다이아,700001,90,435,0.435,0,,,,
120,normal,300 다이아,700001,300,290,0.29,1,,,,
121,normal,신비의알,703016,1,2000,2,1,,,,
401,present,100 골드,700002,100,10,,0,,,,
402,present,5 다이아,700001,5,10,,0,,,,
404,present,10 행동력,700101,10,10,,0,,,,
501,homepage,10 다이아,700001,10,10,,0,,,,
502,homepage,20 다이아,700001,20,10,,0,,,,
503,homepage,30 다이아,700001,30,10,,0,,,,
601,forest,5000 골드,700002,5000,20,,0,드래곤의 숲 보상,,,
602,forest,20 날개,700101,20,20,,0,드래곤의 숲 보상,,,
603,forest,100 자수정,700007,100,18,,0,드래곤의 숲 보상,,,
604,forest,12000 골드,700002,12000,12,,0,드래곤의 숲 보상,,,
605,forest,100 날개,700101,100,10,,0,드래곤의 숲 보상,,,
606,forest,50 다이아,700001,50,10,,0,드래곤의 숲 보상,,,
607,forest,드래곤 경험치,700017,20000,10,,0,드래곤의 숲 보상,,,
701,event,두둑한 용돈 주머니,700316,1,20,,1,수집 아이템 300개 교환보상,,,
702,event,다이아,700001,300,20,,1,수집 아이템 300개 교환보상,,,
703,event,찬란한 날개,700711,2,15,,1,수집 아이템 300개 교환보상,,,
704,event,드래곤 경험치,700017,20000,35,,1,수집 아이템 300개 교환보상,,,
706,event,신비의 알,703016,1,9,,1,수집 아이템 300개 교환보상,,,
707,event,로롤리(어둠),771035,1,1,,1,수집 아이템 300개 교환보상,,,
801,luckybox,신화의 알,703001,1,20,,1,,,,
802,luckybox,전설의 알,703005,1,80,,1,,,,
803,luckybox,다이아,700001,20000,100,,1,,,,
804,luckybox,다이아,700001,15000,100,,1,,,,
805,luckybox,다이아,700001,10000,200,,1,,,,
806,luckybox,다이아,700001,8000,200,,1,,,,
807,luckybox,다이아,700001,6000,300,,1,,,,
901,dungeon,다이아,700001,90,10,,,,,,5
902,dungeon,클랜코인,700011,2,5,,,,,,5
903,dungeon,골드,700002,,15,,,,24000,36000,5
904,dungeon,상급 진화의 보석,701013,,1.67,,,,1,3,5
905,dungeon,상급 진화의 정기,701193,,8.33,,,,1,3,5
906,dungeon,6성 룬,704026,1,10,,,,,,5
907,dungeon,다이아,700001,30,30,,,,,,4
908,dungeon,클랜코인,700011,1,30,,,,,,4
909,dungeon,골드,700002,,30,,,,8000,12000,4
910,dungeon,중급 진화의 보석,701012,,5,,,,1,3,4
911,dungeon,중급 진화의 정기,701192,,25,,,,1,3,4
912,dungeon,4~5성 룬,704004,1,30,,,,,,4
913,dungeon,골드,700002,,250,,,,4000,6000,3
914,dungeon,하급 진화의 보석,701011,,8.33,,,,1,3,3
915,dungeon,하급 진화의 정기,701191,,41.67,,,,1,3,3
916,match_card_5,전설의 알,703005,1,5,0.5,,카드 짝 맞추기 성룡 카드 보상,,,5
917,match_card_5,전설 특성 재료(땅),741141,1,10,1.0,,카드 짝 맞추기 성룡 카드 보상,,,5
918,match_card_5,전설 특성 재료(물),741142,1,10,1.0,,카드 짝 맞추기 성룡 카드 보상,,,5
919,match_card_5,전설 특성 재료(불),741143,1,10,1.0,,카드 짝 맞추기 성룡 카드 보상,,,5
920,match_card_5,전설 스킬 슬라임,779215,1,25,2.5,,카드 짝 맞추기 성룡 카드 보상,,,5
921,match_card_5,전설 강화 포인트,760005,10,50,5.0,,카드 짝 맞추기 성룡 카드 보상,,,5
922,match_card_5,명예,700005,50,90,9.0,,카드 짝 맞추기 성룡 카드 보상,,,5
923,match_card_5,환상의 알,703004,1,100,10.0,,카드 짝 맞추기 성룡 카드 보상,,,5
924,match_card_5,날개,700101,200,150,15.0,,카드 짝 맞추기 성룡 카드 보상,,,5
925,match_card_5,다이아,700001,150,250,25.0,,카드 짝 맞추기 성룡 카드 보상,,,5
926,match_card_5,골드,700002,100000,300,30.0,,카드 짝 맞추기 성룡 카드 보상,,,5
927,match_card_4,고대의 알,703019,1,10,1.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
928,match_card_4,영웅 스킬 슬라임,779245,1,20,2.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
929,match_card_4,신비의 알,703016,1,50,5.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
930,match_card_4,신성의 알,703010,1,50,5.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
931,match_card_4,암흑의 알,703011,1,50,5.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
932,match_card_4,영웅 강화 포인트,760004,2,120,12.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
933,match_card_4,날개,700101,100,200,20.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
934,match_card_4,다이아,700001,90,200,20.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
935,match_card_4,골드,700002,50000,300,30.0,,카드 짝 맞추기 해츨링 카드 보상,,,4
936,match_card_3,골드,700002,5000,1000,100.0,,카드 짝 맞추기 해치 카드 보상,,,3
937,alphabet,A,700211,1,10,5.38%,,알파벳 이벤트 알파벳 아이템 확률,,,
938,alphabet,B,700212,1,1,0.54%,,알파벳 이벤트 알파벳 아이템 확률,,,
939,alphabet,C,700213,1,6,3.23%,,알파벳 이벤트 알파벳 아이템 확률,,,
940,alphabet,D,700214,1,11,5.91%,,알파벳 이벤트 알파벳 아이템 확률,,,
941,alphabet,E,700215,1,22,11.83%,,알파벳 이벤트 알파벳 아이템 확률,,,
942,alphabet,F,700216,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
943,alphabet,G,700217,1,42,22.58%,,알파벳 이벤트 알파벳 아이템 확률,,,
944,alphabet,H,700218,1,1,0.54%,,알파벳 이벤트 알파벳 아이템 확률,,,
945,alphabet,I,700219,1,12,6.45%,,알파벳 이벤트 알파벳 아이템 확률,,,
946,alphabet,J,700220,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
947,alphabet,K,700221,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
948,alphabet,L,700222,1,19,10.22%,,알파벳 이벤트 알파벳 아이템 확률,,,
949,alphabet,M,700223,1,1,0.54%,,알파벳 이벤트 알파벳 아이템 확률,,,
950,alphabet,N,700224,1,13,6.99%,,알파벳 이벤트 알파벳 아이템 확률,,,
951,alphabet,O,700225,1,11,5.91%,,알파벳 이벤트 알파벳 아이템 확률,,,
952,alphabet,P,700226,1,7,3.76%,,알파벳 이벤트 알파벳 아이템 확률,,,
953,alphabet,Q,700227,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
954,alphabet,R,700228,1,1,0.54%,,알파벳 이벤트 알파벳 아이템 확률,,,
955,alphabet,S,700229,1,6,3.23%,,알파벳 이벤트 알파벳 아이템 확률,,,
956,alphabet,T,700230,1,3,1.61%,,알파벳 이벤트 알파벳 아이템 확률,,,
957,alphabet,U,700231,1,5,2.69%,,알파벳 이벤트 알파벳 아이템 확률,,,
958,alphabet,V,700232,1,3,1.61%,,알파벳 이벤트 알파벳 아이템 확률,,,
959,alphabet,W,700233,1,10,5.38%,,알파벳 이벤트 알파벳 아이템 확률,,,
960,alphabet,X,700234,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
961,alphabet,Y,700235,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
962,alphabet,Z,700236,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
963,alphabet,!,700237,1,2,1.08%,,알파벳 이벤트 알파벳 아이템 확률,,,
964,alphabet,드랍되지 않음,-1,1,0,0.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
965,alphabet_wild,와일드 알파벳,700299,1,1,100.00%,,알파벳 이벤트 알파벳 아이템 확률,,,
1001,event_bingo,신화의 알,703042,1,0.1,0.1%,1,빙고 아이템 뽑기 보상,,,
1002,event_bingo,환영의 알,703041,1,1,1.0%,1,빙고 아이템 뽑기 보상,,,
1003,event_bingo,전설의 알,703005,1,1,1.0%,1,빙고 아이템 뽑기 보상,,,
1004,event_bingo,전설 스킬 슬라임,779215,1,2,2.0%,1,빙고 아이템 뽑기 보상,,,
1005,event_bingo,전설 강화 포인트,760005,20,5,5.0%,1,빙고 아이템 뽑기 보상,,,
1006,event_bingo,다이아,700001,1500,5,5.0%,1,빙고 아이템 뽑기 보상,,,
1007,event_bingo,다이아,700001,1000,11,11.0%,1,빙고 아이템 뽑기 보상,,,
1008,event_bingo,다이아,700001,500,14,14.0%,1,빙고 아이템 뽑기 보상,,,
1009,event_bingo,찬란한 날개,700711,5,25,25.0%,1,빙고 아이템 뽑기 보상,,,
1010,event_bingo,골드,700002,100000,35.9,35.9%,1,빙고 아이템 뽑기 보상,,,
1101,luckybox_9.9k,미중복 전설의 알,703037,1,50,,1,추석맞이 선물상자,,,
1102,luckybox_9.9k,전설의 알,703005,1,150,,1,추석맞이 선물상자,,,
1103,luckybox_9.9k,다이아,700001,20000,300,,1,추석맞이 선물상자,,,
1104,luckybox_9.9k,다이아,700001,10000,500,,1,추석맞이 선물상자,,,
1201,luckybox_9.9k_02,미중복 전설의 알,703037,1,50,,1,아스티 출시 기념,,,
1202,luckybox_9.9k_02,다이아,700001,40000,50,,1,아스티 출시 기념,,,
1203,luckybox_9.9k_02,캡슐코인,700012,30,100,,1,아스티 출시 기념,,,
1204,luckybox_9.9k_02,클랜코인,700011,150,100,,1,아스티 출시 기념,,,
1205,luckybox_9.9k_02,다이아,700001,20000,200,,1,아스티 출시 기념,,,
1206,luckybox_9.9k_02,골드,700002,20000000,200,,1,아스티 출시 기념,,,
1207,luckybox_9.9k_02,날개,700101,20000,300,,1,아스티 출시 기념,,,
1208,luckybox_9.9k_05,절대적인 전설의 알,703025,1,20,20%,1,만원의 행복 패키지,,,
1209,luckybox_9.9k_05,빛나는 전설의 알,703001,1,20,20%,1,만원의 행복 패키지,,,
1210,luckybox_9.9k_05,전설의 알,703005,1,60,60%,1,만원의 행복 패키지,,,
1301,moneypouch,골드,700002,,100,,,골드라고라 용돈 주머니,1,100000,
1302,moneypouch_01,골드,700002,,100,,,골드라고라 두둑한 용돈 주머니,100000,1000000,
1401,luckybox_9.9k_03,다이아,700001,150000,10,1%,1,다이아 랜덤 박스,,,
1402,luckybox_9.9k_03,다이아,700001,85000,90,9%,1,다이아 랜덤 박스,,,
1403,luckybox_9.9k_03,다이아,700001,50000,150,15%,1,다이아 랜덤 박스,,,
