sid,r_d_name,r_rarity,r_s_name,skill_form,skill_type,t_name,res_icon,res_1,res_scale,res_2,res_3,res_hit,camera_work,animation,motion_type,dir,game_mode,casting_time,pre_delay,power_add,critical_damage_add,ignore,metamorphosis,val_1,val_2,val_3,r_gd,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_target_count_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,add_option_type_3,add_option_target_3,add_option_target_count_3,add_option_trigger_3,add_option_time_3,add_option_rate_3,add_option_source_3,add_option_value_3,add_option_type_4,add_option_target_4,add_option_target_count_4,add_option_trigger_4,add_option_time_4,add_option_rate_4,add_option_source_4,add_option_value_4,add_option_type_5,add_option_target_5,add_option_target_count_5,add_option_trigger_5,add_option_time_5,add_option_rate_5,add_option_source_5,add_option_value_5,ai_division,desc_1,desc_2,desc_3,desc_4,desc_5,ai_type,t_desc,speech_option,r_내부 정보,r_스킬 레벨업 정보,r_birth,chance_type,chance_value,target_formation,target_type,target_count,power_source,cooldown,r_check,req_mana,hit,power_rate,indicator,skill_size,r_d_role,r_총 DPS,r_스킬 구분(power_rate 입력용)
200000,공통,,일반 공격,code,missile_move_guide,일반 공격,res/ui/icons/skill/200000.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200001,공통,,녹색 잎사귀,code,missile_move_guide,일반 공격,res/ui/icons/skill/200001.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200002,공통,,물속성 푸른 공,code,missile_move_guide,일반 공격,res/ui/icons/skill/200002.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200003,공통,,번개고룡용도,code,missile_move_guide,일반 공격,res/ui/icons/skill/200003.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200004,공통,,속성별 고리 모양,code,missile_move_guide,일반 공격,res/ui/icons/skill/200004.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200005,공통,,바위드래곤용도,code,missile_move_guide,일반 공격,res/ui/icons/skill/200005.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200006,공통,,속성별 볼,code,missile_move_guide,일반 공격,res/ui/icons/skill/200006.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200007,공통,,속성별 레이저,code,missile_move_guide,일반 공격,res/ui/icons/skill/200007.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200008,공통,,속성별 콩알탄,code,missile_move_guide,일반 공격,res/ui/icons/skill/200008.png,res/missile/missile_wedge_new/missile_wedge_new_@.vrp,1,,,,,,instant,-1,,0,0,,,,,1,1,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power_rate,,,,,,,,,,,basic,,,enemy_distance_line,1,atk,,FALSE,,1,300,,,,,특수
200009,공통,,고대의 탑 전용,code,status_effect,광폭화,res/ui/icons/skill/200221.png,,1,,,,,,instant,-1,,0,0,,,,,,,,,passive_fury,self,,skill_start,-1,100,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indie_time,60,,self,1,,0,FALSE,,1,0,,,,,특수
200111,땅 파워드래곤,legend,드래그 스킬,code,skill_aoe_round,파워 슬램!,res/ui/icons/skill/200111.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,,instant,-1,,0,0,,,,,,,,,def_down,target,,skill_end,30,80,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debuff,power_rate,,,,,,"적을 바위 주먹으로 내리쳐 피해를 주고, 80% 확률로 방어력을 30초간 감소시킵니다.",,,스킬 피해 +50%까지 증가,5,active,,,enemy_random,3,atk,20,FALSE,2,3,384,round,2,tanker,172.8,딜_액티브
200112,물 파워드래곤,legend,드래그 스킬,code,skill_aoe_round,파워 슬램!,res/ui/icons/skill/200112.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,,instant,-1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,power_rate,,,,,,적을 바위 주먹으로 내리쳐 피해를 줍니다.\n자신의 방어력에 따라 위력이 크게 증가합니다.,,방어력의 50%를 공격력으로 전환하여 계산,스킬 피해 +50%까지 증가,5,active,,,enemy_random,3,(atk * 0.5) + (def * 0.75),20,FALSE,2,3,384,round,2,tanker,172.8,딜_액티브
200114,빛 파워드래곤,legend,드래그 스킬,code,skill_aoe_round,파워 슬램!,res/ui/icons/skill/200114.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,,instant,-1,,0,0,,,,,,,,,atk_down,target,,skill_end,30,80,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debuff,power_rate,,,,,,"적을 바위 주먹으로 내리쳐 피해를 주고, 80% 확률로 공격력을 30초간 감소시킵니다.",,,스킬 피해 +50%까지 증가,5,active,,,enemy_random,3,atk,20,FALSE,2,3,384,round,2,tanker,172.8,딜_액티브
200115,어둠 파워드래곤,legend,드래그 스킬,code,skill_aoe_round,파워 슬램!,res/ui/icons/skill/200115.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,,instant,-1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,power_rate,,,,,,적을 바위 주먹으로 내리쳐 피해를 줍니다.\n자신의 최대 생명력에 따라 위력이 크게 증가합니다.,,최대체력의 5%를 공격력으로 전환하여 계산,스킬 피해 +50%까지 증가,5,active,,,enemy_random,3,(atk * 0.5) + (max_hp * 0.0125),20,FALSE,2,3,384,round,2,tanker,172.8,딜_액티브
