day,r_date,r_day,start_date,end_date,hidden_open_date,noti,r_start,r_end,r_1번 드래곤,r_2번 드래곤,r_3번 드래곤,r_1번 드래곤,r_2번 드래곤,r_3번 드래곤,r_확률업_1,r_확률업_2,first_1,first_2,first_3,second_1,second_2,second_3,chance_up_1,chance_up_1_pos,chance_up_2,chance_up_2_pos,t_first_name,t_second_name,badge_first,badge_second,badge_first_1,badge_first_2,badge_first_3,badge_second_1,badge_second_2,badge_second_3
20210821,2021/08/21,토,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 다르누스,빛 다르누스,빛 다르누스,땅 수라드래곤,물 파이거,불 말덱,,,771714,771714,771714,770421,770242,770643,,-10;10;0.7,,0;0;1,다르누스,,,,,,,,,
20210822,2021/08/22,일,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 다르누스,빛 다르누스,빛 다르누스,땅 수라드래곤,물 파이거,불 말덱,,,771714,771714,771714,770421,770242,770643,,-10;10;0.7,,0;0;1,다르누스,,,,,,,,,
20210823,2021/08/23,월,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,전설 알,,,,,,,,,
20210824,2021/08/24,화,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,어둠 포포모,어둠 포포모,어둠 포포모,물 수라드래곤,땅 수라드래곤,어둠 수라드래곤,,,771575,771575,771575,770422,770421,770425,,-10;10;0.7,,0;0;1,포포모,,,,,,,,,
20210825,2021/08/25,수,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,어둠 포포모,어둠 포포모,어둠 포포모,물 수라드래곤,땅 수라드래곤,어둠 수라드래곤,,,771575,771575,771575,770422,770421,770425,,-10;10;0.7,,0;0;1,포포모,,,,,,,,,
20210826,2021/08/26,목,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 제노스,빛 제노스,빛 제노스,땅 수라드래곤,물 파이거,불 말덱,,,771304,771304,771304,770421,770242,770643,,-10;10;0.7,,0;0;1,제노스,,,,,,,,,
20210827,2021/08/27,금,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 제노스,빛 제노스,빛 제노스,땅 수라드래곤,물 파이거,불 말덱,,,771304,771304,771304,770421,770242,770643,,-10;10;0.7,,0;0;1,제노스,,,,,,,,,
20210828,2021/08/28,토,2021-08-19 0:00:00,2021-09-02 0:00:00,20210827,global_anniversary,0,0,어둠 애니마라,절대적인 전설의 알,빛나는 전설의 알,물 페어리드래곤,어둠 페어리드래곤,불 페어리드래곤,,,771745,703025,703001,770112,770115,770113,,-10;10;0.7,,0;0;1,이벤트,,,,,,,,,
20210829,2021/08/29,일,2021-08-19 0:00:00,2021-09-02 0:00:00,20210827,global_anniversary,0,0,어둠 애니마라,절대적인 전설의 알,빛나는 전설의 알,물 페어리드래곤,어둠 페어리드래곤,불 페어리드래곤,,,771745,703025,703001,770112,770115,770113,,-10;10;0.7,,0;0;1,이벤트,,,,,,,,,
20210830,2021/08/30,월,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,전설 알,,,,,,,,,
20210831,2021/08/31,화,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 프로스티,빛 프로스티,빛 프로스티,빛 스트라,빛 베네지드래곤,빛 고디움,,,771134,771134,771134,771534,770634,770594,,-10;10;0.7,,0;0;1,프로스티,,,,,,,,,
20210901,2021/09/01,수,2021-08-19 0:00:00,2021-09-02 0:00:00,,,0,0,빛 프로스티,빛 프로스티,빛 프로스티,빛 스트라,빛 베네지드래곤,빛 고디움,,,771134,771134,771134,771534,770634,770594,,-10;10;0.7,,0;0;1,프로스티,,,,,,,,,
20210902,2021/09/02,목,2021-08-19 0:00:00,2021-09-16 0:00:00,,,0,14,어둠 큐피트,어둠 큐피트,어둠 큐피트,불 허리케인,불 원더드래곤,불 사이커드래곤,,,770725,770725,770725,770203,770393,770123,,-10;10;0.7,,0;0;1,큐피트,,,,,,,,,
20210903,2021/09/03,금,2021-08-19 0:00:00,2021-09-16 0:00:00,,,0,0,어둠 큐피트,어둠 큐피트,어둠 큐피트,불 허리케인,불 원더드래곤,불 사이커드래곤,,,770725,770725,770725,770203,770393,770123,,-10;10;0.7,,0;0;1,큐피트,,,,,,,,,
20210904,2021/09/04,토,2021-09-02 0:00:00,2021-09-16 0:00:00,,,14,0,빛 트로페우스,빛 트로페우스,빛 트로페우스,어둠 원더드래곤,땅 삐에로드래곤,물 오르페우스,,,771164,771164,771164,770395,770301,770042,,-10;10;0.7,,0;0;1,트로페우스,,,,,,,,,
20210905,2021/09/05,일,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛 트로페우스,빛 트로페우스,빛 트로페우스,어둠 원더드래곤,땅 삐에로드래곤,물 오르페우스,,,771164,771164,771164,770395,770301,770042,,-10;10;0.7,,0;0;1,트로페우스,,,,,,,,,
20210906,2021/09/06,월,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,전설 알,,,,,,,,,
20210907,2021/09/07,화,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,어둠 가이안,어둠 가이안,어둠 가이안,어둠 페어리드래곤,빛 페어리드래곤,물 페어리드래곤,,,771455,771455,771455,770115,770114,770112,,-10;10;0.7,,0;0;1,가이안,,,,,,,,,
20210908,2021/09/08,수,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,어둠 가이안,어둠 가이안,어둠 가이안,어둠 페어리드래곤,빛 페어리드래곤,물 페어리드래곤,,,771455,771455,771455,770115,770114,770112,,-10;10;0.7,,0;0;1,가이안,,,,,,,,,
20210909,2021/09/09,목,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛 오르도,빛 오르도,빛 오르도,어둠 오르페우스,어둠 오르페우스,물 오르페우스,,,771624,771624,771624,770045,770045,770042,,-10;10;0.7,,0;0;1,오르도,,,,,,,,,
20210910,2021/09/10,금,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛 오르도,빛 오르도,빛 오르도,어둠 오르페우스,어둠 오르페우스,물 오르페우스,,,771624,771624,771624,770045,770045,770042,,-10;10;0.7,,0;0;1,오르도,,,,,,,,,
20210911,2021/09/11,토,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,어둠 틸키,어둠 틸키,어둠 틸키,물 수라드래곤,땅 수라드래곤,어둠 수라드래곤,,,771505,771505,771505,770422,770421,770425,,-10;10;0.7,,0;0;1,틸키,,,,,,,,,
20210912,2021/09/12,일,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,어둠 틸키,어둠 틸키,어둠 틸키,물 수라드래곤,땅 수라드래곤,어둠 수라드래곤,,,771505,771505,771505,770422,770421,770425,,-10;10;0.7,,0;0;1,틸키,,,,,,,,,
20210913,2021/09/13,월,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,전설 알,,,,,,,,,
20210914,2021/09/14,화,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛 합라,빛 합라,빛 합라,불 삐에로드래곤,어둠 블랙찡또,어둠 에일리언드래곤,,,771654,771654,771654,770303,770585,770175,,-10;10;0.7,,0;0;1,합라,,,,,,,,,
20210915,2021/09/15,수,2021-09-02 0:00:00,2021-09-16 0:00:00,,,0,0,빛 합라,빛 합라,빛 합라,불 삐에로드래곤,어둠 블랙찡또,어둠 에일리언드래곤,,,771654,771654,771654,770303,770585,770175,,-10;10;0.7,,0;0;1,합라,,,,,,,,,
20210916,2021/09/16,목,2021-09-02 0:00:00,2021-09-30 0:00:00,,,0,14,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210917,2021/09/17,금,2021-09-02 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210918,2021/09/18,토,2021-09-16 0:00:00,2021-09-30 0:00:00,,,14,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210919,2021/09/19,일,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210920,2021/09/20,월,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210921,2021/09/21,화,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210922,2021/09/22,수,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210923,2021/09/23,목,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210924,2021/09/24,금,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
20210925,2021/09/25,토,2021-09-16 0:00:00,2021-09-30 0:00:00,,,0,0,빛나는 전설의 알,전설의 알,전설의 알,초월의 알,고대의 알,고대의 알,,,703001,703005,703005,703003,703019,703019,,-10;10;0.7,,0;0;1,이벤트,,,,event,,,,,
