pickup_id,ui_priority,did,r_name,start_date,end_date,res_bg,res_text,r_comment
100001,1,121752,물 데스락,2022-07-16 00:00:00,2022-07-31 00:00:00,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100002,2,121643,불 탈릿사,2022-06-16 00:00:00,2022-06-30 00:00:00,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100003,3,121735,어둠 세에레,2022-09-16 00:00:00,2022-09-30 00:00:00,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100004,4,121765,어둠 마카라,2022-09-01 00:00:00,2022-09-16 00:00:00,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100005,5,121771,땅 헤네스,2022-08-16 00:00:00,2022-09-01 00:00:00,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100006,6,121784,빛 템페렌티나,2022-06-16 00:00:00,2022-06-30 00:00:00,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100007,7,121792,물 카스티타스,2022-08-16 00:00:00,2022-09-01 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100008,8,121804,빛 밀라타스,2022-12-01 00:00:00,2022-12-16 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100009,9,121813,불 에피트,2921-11-16 00:00:00,2921-12-08 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100010,10,121821,땅 글루토니,2022-07-16 00:00:00,2022-07-31 00:00:00,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100011,11,121833,불 페티아,2921-11-16 00:00:00,2022-12-30 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100012,12,121842,물 엔비,2022-09-16 00:00:00,2022-09-30 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100013,13,121854,빛 인스트리아,2022-06-28 02:00:00,2022-07-16 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100014,14,121861,땅 오베론,2022-07-31 02:00:00,2022-08-16 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
