list_id,r_shop_num,ui_priority,tab_category,product_id,r_price,r_product,dependency,start_date,end_date,week_filter
1000001,0,1,package,119990,9900,가격 비교용 상품,,2018-12-25 00:00:00,2119-01-01 00:00:00,
1010001,1,1,package,82001,3300,다이아 900개,,,,sold_out
1010002,1,2,package,82002,5500,"다이아 1,590개",,,,sold_out
1010003,1,3,package,82003,11000,"다이아 3,300개",,,,sold_out
1010004,1,4,package,82004,33000,"다이아 10,200개",,,,sold_out
1010005,1,5,package,82005,55000,"다이아 17,700개",,,,sold_out
1010006,1,6,package,82006,110000,"다이아 37,800개",,,,sold_out
1010007,1,1,cash,82011,3300,다이아 900 + 180개,82001,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010008,1,2,cash,82012,5500,"다이아 1,590 + 318개",82002,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010009,1,3,cash,82013,11000,"다이아 3,300 + 660개",82003,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010010,1,4,cash,82014,33000,"다이아 10,200 + 2,040개",82004,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010011,1,5,cash,82015,55000,"다이아 17,700 + 3,540개",82005,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010012,1,6,cash,82016,110000,"다이아 37,800 + 7,560개",82006,2018-12-25 00:00:00,2019-01-01 00:00:00,
1010013,1,1,cash,82021,3300,다이아 900 + 270개,82001,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010014,1,2,cash,82022,5500,"다이아 1,590 + 477개",82002,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010015,1,3,cash,82023,11000,"다이아 3,300 + 990개",82003,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010016,1,4,cash,82024,33000,"다이아 10,200 + 3,060개",82004,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010017,1,5,cash,82025,55000,"다이아 17,700 + 5,310개",82005,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010018,1,6,cash,82026,110000,"다이아 37,800 + 11,340개",82006,2019-12-20 00:00:00,2019-12-24 00:00:00,
1010019,1,1,cash,82031,3300,다이아 900 + 450개,82001,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010020,1,2,cash,82032,5500,"다이아 1,590 + 795개",82002,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010021,1,3,cash,82033,11000,"다이아 3,300 + 1650개",82003,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010022,1,4,cash,82034,33000,"다이아 10,200 + 5,100개",82004,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010023,1,5,cash,82035,55000,"다이아 17,700 + 8,850개",82005,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010024,1,6,cash,82036,110000,"다이아 37,800 + 18,900개",82006,2020-08-08 00:00:00,2020-08-15 00:00:00,
1010025,1,1,cash,82041,3300,다이아 900 + 900개,82001,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010026,1,2,cash,82042,5500,"다이아 1,590 + 1,590개",82002,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010027,1,3,cash,82043,11000,"다이아 3,300 + 3,300개",82003,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010028,1,4,cash,82044,33000,"다이아 10,200 + 10,200개",82004,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010029,1,5,cash,82045,55000,"다이아 17,700 + 17,700개",82005,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010030,1,6,cash,82046,110000,"다이아 37,800 + 37,800개",82006,2021-05-27 00:00:00,2021-06-01 00:00:00,
1010031,1,1,package,122801,3300,"다이아 4,500개",,,,
1010032,1,2,package,122802,5500,"다이아 7,950개",,,,
1010033,1,3,package,122803,11000,"다이아 16,500개",,,,
1010034,1,4,package,122804,33000,"다이아 51,000개",,,,
1010035,1,5,package,122805,55000,"다이아 88,500개",,,,
1010036,1,6,package,122806,110000,"다이아 189,000개",,,,
1010037,1,1,package,122811,3300,"다이아 4,500 + 4,500개",122801,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010038,1,2,package,122812,5500,"다이아 7,950 + 7,950개",122802,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010039,1,3,package,122813,11000,"다이아 16,500 + 16,500개",122803,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010040,1,4,package,122814,33000,"다이아 51,000 + 51,000개",122804,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010041,1,5,package,122815,55000,"다이아 88,500 + 88,500개",122805,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010042,1,6,package,122816,110000,"다이아 189,000 + 189,000개",122806,2021-01-01 00:00:00,2022-01-01 00:00:00,
1010043,1,1,package,122821,3300,"다이아 4,500 + 4,500개",122801,2022-01-01 00:00:00,2922-01-01 00:00:00,
1010044,1,2,package,122822,5500,"다이아 7,950 + 7,950개",122802,2022-01-01 00:00:00,2922-01-01 00:00:00,
1010045,1,3,package,122823,11000,"다이아 16,500 + 16,500개",122803,2022-01-01 00:00:00,2922-01-01 00:00:00,
