en,fa
Damage increases every 60 sec.\nMultiple stacks are available and can’t be canceled.,آسیب هر 60 ثانیه افزایش می‌یابد.\nچند پشته در دسترس است و نمی‌توان آنها را لغو کرد.
Attack at a weak point to deal the highest damage!,در نقطه ضعف حمله کنید تا بیشترین آسیب را وارد کنید!
{1} slot(s),{1} اسلات
{1} slot(s),{1} اسلات
"Every {1} attacks, inflict damage to an enemy with lowest HP.\nInflict higher damage when the target's HP gets lower. It deals up to X{2} damage.",هر {1} حمله، به دشمنی با کمترین HP آسیب وارد کنید.\nزمانی که HP هدف کمتر شد، آسیب بیشتری وارد کنید. تا X {2} خسارت وارد می کند.
Take it if you want!,اگر خواستی ببرش!
ATK is decreased by 20%.\n(Can be stacked up to 3 times),ATK 20 درصد کاهش یافته است. \n(می توان تا 3 بار روی هم چید)
ATK is increased by 20%.\n(Can be stacked up to 3 times),ATK 20 درصد افزایش یافته است. \n(می توان تا 3 بار روی هم چید)
ATK speed is decreased by 20%\n(Can be stacked up to 3 times),سرعت ATK 20٪ کاهش یافته است \n(می توان تا 3 بار روی هم قرار داد)
ATK speed is increased by 20%.\n(Can be stacked up to 3 times),سرعت ATK 20 درصد افزایش یافته است. \n(می توان تا 3 بار روی هم چید)
Loading ad…,در حال بارگیری آگهی…
Token Shop,فروشگاه توکن
"Release the power of marble to inflict damage, and decrease target's ATK for {1} sec.\nThis attack receives a {2}% bonus of your ATK.",قدرت سنگ مرمر برای وارد کردن آسیب را آزاد کنید و ATK هدف را برای {1} ثانیه کاهش دهید.\nاین حمله {2}٪ پاداش ATK شما را دریافت می کند.
Don't put me in the coffin!,مرا در تابوت نگذار!
I'm not an undead.,من مرده نیستم
You can exchange remaining tokens for Gift Boxes!,می توانید توکن های باقیمانده را با جعبه های هدیه مبادله کنید!
You can exchange remaining tokens for Gift Boxes!,می توانید توکن های باقیمانده را با جعبه های هدیه مبادله کنید!
We'll have to finish our business next time.,دفعه بعد باید کارمان را تمام کنیم.
You need {1} slot(s) to unlock your next reward.,برای باز کردن قفل پاداش بعدی خود به {1} اسلات نیاز دارید.
I'll give it to you again next time.,دفعه بعد دوباره بهت میدم
Decrease target's DEF for {2} sec. after attack if the target’s HP is below {1}%.,DEF هدف را برای {2} ثانیه کاهش دهید. پس از حمله اگر HP هدف زیر {1}٪ باشد.
Throwing Stones,پرتاب سنگ
"In this stage, enemies keep respawning if you don't kill them all at the same time.",در این مرحله، اگر شما همه آنها را به طور همزمان نکشید، دشمنان به بازپاشیدن ادامه می دهند.
Auto Pick-up will be enabled if you watch the video ad.,در صورت تماشای آگهی ویدیویی، برداشت خودکار فعال خواهد شد.
Dragons and monsters can grant beneficial effects to allies.,اژدهاها و هیولاها می توانند اثرات مفیدی را به متحدان بدهند.
Dragons and monsters can grant harmful effects to enemies.,اژدها و هیولاها می توانند اثرات مضری را برای دشمنان ایجاد کنند.
"In this stage, you have to fight dragons and monsters.",در این مرحله باید با اژدها و هیولاها مبارزه کنید.
That's gotta hurt!,این باید صدمه ببینه
"All attacks ignore barrier effects. In this stage, you have to survive using your recovery skills.",همه حملات اثرات مانع را نادیده می گیرند. در این مرحله باید با استفاده از مهارت های بازیابی خود زنده بمانید.
Can't use all skills.,نمی توان از همه مهارت ها استفاده کرد.
Can’t use all skills and can’t attack.,نمی تواند از همه مهارت ها استفاده کند و نمی تواند حمله کند.
Can’t use all skills and can’t attack. \nStatus removed when attacked.,نمی تواند از همه مهارت ها استفاده کند و نمی تواند حمله کند. \nوضعیت هنگام حمله حذف شد.
Immune to all attacks.\nCan still be affected by harmful effects.,در برابر همه حملات مصون است.\nهمچنان می‌تواند تحت تأثیر اثرات مضر قرار گیرد.
Immune to all harmful effects. \nCurrent harmful effects are not removed.,در برابر تمام اثرات مضر مصون است. \nاثرات مضر فعلی حذف نمی‌شوند.
Monsters… I'm gonna beat you next time.,هیولاها... دفعه بعد تو را شکست خواهم داد.
Invulnerable,آسیب ناپذیر
"With this Draw Ticket, you get one attribute among Earth, Water, Fire, Dark for Mummygon.",با این بلیط قرعه کشی، یک ویژگی از میان زمین، اب، آتش، تاریک برای مومیگون دریافت می کنید.
Mummygon Draw Ticket,بلیط قرعه کشی مومیگون
Mummygon (Earth),مومیگون (زمین)
Mummygon (Earth) Relationship Point,نقطه ارتباط مومیگون (زمین).
Mummygon (Water),مومیگون (اب)
Mummygon (Water) Relationship Point,نقطه ارتباط مومیگون (اب).
Mummygon (Fire),مومیگون (آتش)
Mummygon (Fire) Relationship Point,نقطه ارتباط مومیگون (آتش).
Mummygon (Dark),مومیگون (تاریک)
Mummygon (Dark) Relationship Point,نقطه ارتباط مومیگون (تاریک).
DEF is decreased by 20%.\n(Can be stacked up to 3 times),DEF 20٪ کاهش یافته است. \n(می توان تا 3 بار روی هم چید)
DEF is increased by 20%.\n(Can be stacked up to 3 times),DEF 20٪ افزایش یافته است. \n(می توان تا 3 بار روی هم چید)
Barrier,مانع
Resists damage equal to barrier's HP.,در برابر صدمات برابر با HP سد مقاومت می کند.
Bullseye every time!,بولسی هر بار!
Buff name,نام باف
No.,خیر
Boss Effect,اثر رئیس
This is a special effect that you can use in boss fights.,این یک افکت ویژه است که می توانید در باس فایت ها از آن استفاده کنید.
Normal\nEnter,طبیعی\nورود
Hellfire\nEnter,آتش جهنم\nوارد شوید
Bandage Bomb,بمب بانداژ
Throw a bomb wrapped in bandages to inflict damage.\nInflict X{1} damage to Earth enemies.,برای وارد کردن آسیب، بمبی را که در بانداژ پیچیده شده است پرتاب کنید.\nبه دشمنان زمین آسیب X {1} وارد کنید.
Throw a bomb wrapped in bandages to inflict damage.\nInflict X{1} damage to Water enemies.,برای وارد کردن آسیب، بمبی را که در بانداژ پیچیده شده است پرتاب کنید.\nبه دشمنان اب آسیب X {1} وارد کنید.
Throw a bomb wrapped in bandages to inflict damage.\nInflict X{1} damage to Fire enemies.,برای وارد کردن آسیب، بمبی را که در بانداژ پیچیده شده است پرتاب کنید.\nبه دشمنان آتش آسیب X {1} وارد کنید.
Throw a bomb wrapped in bandages to inflict damage.\nInflict X{1} damage to Light enemies.,برای وارد کردن آسیب، بمبی را که در بانداژ پیچیده شده است پرتاب کنید.\nبه دشمنان سبک آسیب X {1} وارد کنید.
I'll take you on after I'm healed up.,بعد از اینکه شفا پیدا کردم تو را به عهده می گیرم.
Activates when HP reaches 0.\nDragon won't die until duration is over.,وقتی HP به 0 برسد فعال می‌شود.\nDragon نمی‌میرد تا مدت زمان آن تمام شود.
"Become invulnerable for {1} sec. when HP reaches 75%, 50%, and 25%, and increase your ATK by {2}% at each of those percentages.\nThis effect is activated only once for each of those percentages.",برای {1} ثانیه آسیب ناپذیر شوید. وقتی HP به 75٪، 50٪، و 25٪ می رسد و ATK خود را با هر یک از این درصدها تا {2}٪ افزایش دهید.\nاین اثر فقط یک بار برای هر یک از آن درصدها فعال می شود.
"Become invulnerable for {1} sec. when HP reaches 75%, 50%, and 25%, and increase your ATK speed by {2}% at each of those percentages.\nThis effect is activated only once for each section.",برای {1} ثانیه آسیب ناپذیر شوید. وقتی HP به 75٪، 50٪ و 25٪ رسید و سرعت ATK خود را در هر یک از این درصدها تا {2}٪ افزایش دهید.\nاین اثر فقط یک بار برای هر بخش فعال می شود.
Exchange Gifts,تبادل هدایا
Tokens used for exchanging gifts will be gone.,ژتون های مورد استفاده برای تبادل هدایا از بین خواهند رفت.
Info.,اطلاعات
"Increase the power of Sonic Boom by {1}%.\nAlso, {2}% chance to stun targets for {3} sec.",قدرت Sonic Boom را تا {1}% افزایش دهید.\nهمچنین، {2} درصد شانس برای بیهوش کردن اهداف برای {3} ثانیه.
