id,skill_form,type,t_name,upgrade_num,res_icon,res_1,res_2,res_3,res_hit,animation,motion_type,dmg_type,dir,chance_type,chance_value,target_type,indicator_type,power_rate,cooldown,hit,val_1,val_2,val_3,status_effect_rate,status_effect_type,val_id,for_gd,desc,to_programmer
200001,code,skill_protection,임시 액티브 스킬,01,res/ui/icon/skill/skill_protection_01.png,res/effect/skill_protection/skill_protection.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,1000,10,1,10,20,0,0,x,0,0,임시 액티브 스킬입니다.,
200002,code,skill_protection,임시 액티브 스킬 강화,02,res/ui/icon/skill/skill_protection_02.png,res/effect/skill_protection/skill_protection.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,1000,10,1,10,30,0,0,x,0,0,임시 액티브 스킬입니다.,
200011,code,skill_protection,수호,01,res/ui/icon/skill/skill_protection_01.png,res/effect/skill_protection/skill_protection.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,1000,15,1,20,10,0,0,x,0,0,{2}초 간 지정 아군의 피해를 대신 받고 자신은 {1}%만큼 방어력이 상승,"타겟의 데미지를 10초간 대신 받음. 지속시간이 남은 동안 같은 대상에게 중복 사용할 경우 지속 시간 리셋, 다른 대상에게 사용할 경우 이미 걸려있는 대상은 취소 되고 새로운 대상만 데미지 흡수. 방어력은 val_1만큼 상승"
200012,code,skill_protection,수호 강화,02,res/ui/icon/skill/skill_protection_02.png,res/effect/skill_protection/skill_protection.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,1000,15,1,50,30,0,100,buff_cri_dmg_up_30,0,0,수호 대상의 치명 피해 {1}% 증가 ,
200021,code,skill_bullet_hole,탄막흡수,01,res/ui/icon/skill/skill_bullet_hole_01.png,res/effect/skill_bullet_hole/skill_bullet_hole.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,area_range_round,100,20,1,160,5,0,0,x,0,0,지정 범위에 {2}초간 유지되는 블랙홀을 소환하여 범위에 들어오는 탄막을 흡수,지정한 곳을 중심으로 반경 val_1픽샐 위를 지나가는 basic 타입 탄막의 피격 판정을 끄고 중심으로 흡수. val_2 만큼 지속 후 사라짐
200022,code,skill_bullet_hole,탄막흡수 강화,02,res/ui/icon/skill/skill_bullet_hole_02.png,res/effect/skill_bullet_hole/skill_bullet_hole.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,area_range_round,100,20,1,160,7,20,100,buff_cri_chance_up_20,0,0,스킬 사용 시 10초 간 치명 확률 {3}% 증가 ,
200031,code,skill_dark_lightning,낙뢰,01,res/ui/icon/skill/skill_dark_lightning_01.png,res/effect/skill_lightning_dark/skill_lightning_dark.vrp,x,x,x,x,instant,magical,-1,active,1,enemy_distance_line,enemy_range_round,300,10,1,5,150,300,0,x,0,225000,지정 범위 내 최대 {1}명의 적에게 공격력의 {3}%의 피해를 줌,지정된 범위에 있는 적을 타겟으로 정확히 타겟에게만 명중하는 번개를 위에서 발사. 타겟 최대 수는 val_1을 초과할 수 없음
200032,code,skill_dark_lightning,낙뢰 강화,02,res/ui/icon/skill/skill_dark_lightning_02.png,res/effect/skill_lightning_dark/skill_lightning_dark.vrp,x,x,x,x,instant,magical,-1,active,1,enemy_distance_line,enemy_range_round,450,10,1,5,150,450,0,x,0,337500,중독 상태의 적에게 {3}% 추가 피해를 줌 ,
200041,code,skill_heal_single,치유,01,res/ui/icon/skill/skill_heal_single_01.png,res/effect/skill_heal_single_@/skill_heal_single_@.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,300,20,1,300,1,0,0,x,0,0,아군 1명의 생명력을 공격력의 {1}% 만큼 회복,지정된 타겟의 체력을 마법공격력의 400%로 즉시 회복
200042,code,skill_heal_single,치유 강화,02,res/ui/icon/skill/skill_heal_single_02.png,res/effect/skill_heal_single_@/skill_heal_single_@.spine,x,x,x,x,instant,magical,-1,active,1,ally_hp_low,ally_single,400,20,1,450,5,10,100,buff_avoid_up_10,0,0,스킬 사용 시 대상의 회피율이 {2}초 간 {3}% 증가 ,
