stage,difficult,chapter_info,stage_info,attr,level,cost_type,cost_value,time_limit,dragon_exp,tamer_exp,gold_unit,drop_display_0,drop_display_1,drop_display_2,drop_display_3,drop_display_4,drop_display_5,drop_display_6,drop_display_7,rate_s,rate_a,rate_b,rate_c,id_s1,value_s1,rate_s1,id_s2,value_s2,rate_s2,id_s3,value_s3,rate_s3,id_s4,value_s4,rate_s4,id_s5,value_s5,rate_s5,id_s6,value_s6,rate_s6,id_s7,value_s7,rate_s7,id_s8,value_s8,rate_s8,id_s9,value_s9,rate_s9,id_s10,value_s10,rate_s10,id_a1,value_a1,rate_a1,id_a2,value_a2,rate_a2,id_a3,value_a3,rate_a3,id_a4,value_a4,rate_a4,id_a5,value_a5,rate_a5,id_a6,value_a6,rate_a6,id_a7,value_a7,rate_a7,id_a8,value_a8,rate_a8,id_a9,value_a9,rate_a9,id_a10,value_a10,rate_a10,id_b1,value_b1,rate_b1,id_b2,value_b2,rate_b2,id_b3,value_b3,rate_b3,id_b4,value_b4,rate_b4,id_b5,value_b5,rate_b5,id_b6,value_b6,rate_b6,id_b7,value_b7,rate_b7,id_b8,value_b8,rate_b8,id_b9,value_b9,rate_b9,id_b10,value_b10,rate_b10,id_c1,value_c1,rate_c1,id_c2,value_c2,rate_c2,id_c3,value_c3,rate_c3,id_c4,value_c4,rate_c4,id_c5,value_c5,rate_c5,id_c6,value_c6,rate_c6,id_c7,value_c7,rate_c7,id_c8,value_c8,rate_c8,id_c9,value_c9,rate_c9,id_c10,value_c10,rate_c10
11011,easy,1,1,earth,1,stamina,1,120,100,125,1,701011,701021,701041,701051,701061,702011,700001,703001,1,100,500,10000,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702014,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702013,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702012,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702011,1,200,703001,1,1
11012,easy,1,2,earth,2,stamina,1,120,120,150,1,701011,701021,701041,701051,701061,702021,700001,703001,1,90,480,9950,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702024,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702023,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702022,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702021,1,200,703001,1,1
11013,easy,1,3,earth,3,stamina,1,120,140,175,1,701011,701021,701041,701051,701061,702031,700001,703001,1,80,460,9900,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702034,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702033,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702032,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702031,1,200,703001,1,1
11014,easy,1,4,earth,4,stamina,1,120,160,200,1,701011,701021,701041,701051,701061,702041,700001,703001,1,70,440,9850,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702044,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702043,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702042,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702041,1,200,703001,1,1
11015,easy,1,5,earth,5,stamina,1,120,180,225,1,701011,701021,701041,701051,701061,702051,700001,703001,1,60,420,9800,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702054,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702053,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702052,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702051,1,200,703001,1,1
11016,easy,1,6,earth,6,stamina,1,120,200,250,1,701011,701021,701041,701051,701061,702061,700001,703001,1,50,400,9750,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702064,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702063,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702062,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702061,1,200,703001,1,1
11017,easy,1,7,earth,7,stamina,1,120,220,275,1,701011,701021,701041,701051,701061,702071,700001,703001,1,40,380,9700,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702074,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702073,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702072,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702071,1,200,703001,1,1
11018,easy,1,8,earth,8,stamina,1,120,240,300,1,701011,701021,701041,701051,701061,702081,700001,703001,1,30,360,9650,700001,8,300,701011,16,150,701011,24,100,701011,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702084,1,200,703001,8,1,700001,4,300,701011,8,150,701011,16,100,701011,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702083,1,200,703001,4,1,700001,2,300,700001,3,200,701011,4,100,701011,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702082,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701011,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702081,1,200,703001,1,1
11021,easy,2,1,water,9,stamina,1,120,260,325,2,701021,701031,701041,701051,701061,702091,700001,703001,1,100,500,10000,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701031,8,50,701041,8,50,701051,8,50,701061,8,50,702094,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701031,4,50,701041,4,50,701051,4,50,701061,4,50,702093,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701031,2,50,701041,2,50,701051,2,50,701061,2,50,702092,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701031,1,50,701041,1,50,701051,1,50,701061,1,50,702091,1,200,703001,1,1
11022,easy,2,2,water,10,stamina,1,120,280,350,2,701021,701031,701041,701051,701061,702011,700001,703001,1,90,480,9950,700001,8,300,701021,16,150,701021,24,100,701021,8,300,701021,8,50,701041,8,50,701051,8,50,701061,8,50,702014,1,200,703001,8,1,700001,4,300,701021,8,150,701011,16,100,701021,4,300,701021,4,50,701041,4,50,701051,4,50,701061,4,50,702013,1,200,703001,4,1,700001,2,300,700001,3,200,701021,4,100,701021,2,300,701021,2,50,701041,2,50,701051,2,50,701061,2,50,702012,1,200,703001,2,1,700001,1,300,700001,2,200,700001,3,100,701021,1,300,701021,1,50,701041,1,50,701051,1,50,701061,1,50,702011,1,200,703001,1,1
