item,t_name,t_desc,type,full_type,attr,attr_name,rarity,val_1
700001,100골드,100 골드 획득,gold,gold_01,x,x,1,100
700002,1000골드,1000 골드 획득,gold,gold_02,x,x,2,1000
700003,10000골드,10000 골드 획득,gold,gold_03,x,x,3,10000
700004,100000골드,100000 골드 획득,gold,gold_04,x,x,4,100000
701001,진화 촉매 일반,아이템 설명 임시,evolution_catalyst,evolution_catalyst_01,x,x,1,1
701002,진화 촉매 희귀,아이템 설명 임시,evolution_catalyst,evolution_catalyst_02,x,x,2,1
701003,진화 촉매 영웅,아이템 설명 임시,evolution_catalyst,evolution_catalyst_03,x,x,3,1
701004,진화 촉매 전설,아이템 설명 임시,evolution_catalyst,evolution_catalyst_04,x,x,4,1
701011,땅 진화석 일반,땅의 힘을 가진 광물. 땅속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_earth_01,earth,땅,1,1
701012,땅 진화석 희귀,땅의 힘을 가진 광물. 땅속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_earth_02,earth,땅,2,1
701013,땅 진화석 영웅,땅의 힘을 가진 광물. 땅속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_earth_03,earth,땅,3,1
701014,땅 진화석 전설,땅의 힘을 가진 광물. 땅속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_earth_04,earth,땅,4,1
701021,물 진화석 일반,물의 힘을 가진 광물. 물속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_water_01,water,물,1,1
701022,물 진화석 희귀,물의 힘을 가진 광물. 물속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_water_02,water,물,2,1
701023,물 진화석 영웅,물의 힘을 가진 광물. 물속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_water_03,water,물,3,1
701024,물 진화석 전설,물의 힘을 가진 광물. 물속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_water_04,water,물,4,1
701031,바람 진화석 일반,바람의 힘을 가진 광물. 바람속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_wind_01,wind,바람,1,1
701032,바람 진화석 희귀,바람의 힘을 가진 광물. 바람속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_wind_02,wind,바람,2,1
701033,바람 진화석 영웅,바람의 힘을 가진 광물. 바람속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_wind_03,wind,바람,3,1
701034,바람 진화석 전설,바람의 힘을 가진 광물. 바람속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_wind_04,wind,바람,4,1
701041,불 진화석 일반,불의 힘을 가진 광물. 불속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_fire_01,fire,불,1,1
701042,불 진화석 희귀,불의 힘을 가진 광물. 불속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_fire_02,fire,불,2,1
701043,불 진화석 영웅,불의 힘을 가진 광물. 불속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_fire_03,fire,불,3,1
701044,불 진화석 전설,불의 힘을 가진 광물. 불속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_fire_04,fire,불,4,1
701051,빛 진화석 일반,빛의 힘을 가진 광물. 빛속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_light_01,light,빛,1,1
701052,빛 진화석 희귀,빛의 힘을 가진 광물. 빛속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_light_02,light,빛,2,1
701053,빛 진화석 영웅,빛의 힘을 가진 광물. 빛속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_light_03,light,빛,3,1
701054,빛 진화석 전설,빛의 힘을 가진 광물. 빛속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_light_04,light,빛,4,1
701061,어둠 진화석 일반,어둠의 힘을 가진 광물. 어둠속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_dark_01,dark,어둠,1,1
701062,어둠 진화석 희귀,어둠의 힘을 가진 광물. 어둠속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_dark_02,dark,어둠,2,1
701063,어둠 진화석 영웅,어둠의 힘을 가진 광물. 어둠속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_dark_03,dark,어둠,3,1
701064,어둠 진화석 전설,어둠의 힘을 가진 광물. 어둠속성 드래곤을 성장시키는 힘이 있다.,evolution_stone,evolution_stone_dark_04,dark,어둠,4,1
702011,공격력 열매 하급,x,fruit,fruit_atk_01,atk,물리 공격력,1,1
702012,공격력 열매 중급,x,fruit,fruit_atk_02,atk,물리 공격력,2,1
702013,공격력 열매 상급,x,fruit,fruit_atk_03,atk,물리 공격력,3,1
702014,공격력 열매 최상급,x,fruit,fruit_atk_04,atk,물리 공격력,4,1
702021,방어력 열매 하급,x,fruit,fruit_def_01,def,물리 방어력,1,1
702022,방어력 열매 중급,x,fruit,fruit_def_02,def,물리 방어력,2,1
702023,방어력 열매 상급,x,fruit,fruit_def_03,def,물리 방어력,3,1
702024,방어력 열매 최상급,x,fruit,fruit_def_04,def,물리 방어력,4,1
702031,공격 속도 열매 하급,x,fruit,fruit_aspd_01,aspd,공격 속도,1,1
702032,공격 속도 열매 중급,x,fruit,fruit_aspd_02,aspd,공격 속도,2,1
702033,공격 속도 열매 상급,x,fruit,fruit_aspd_03,aspd,공격 속도,3,1
702034,공격 속도 열매 최상급,x,fruit,fruit_aspd_04,aspd,공격 속도,4,1
702041,회피 열매 하급,x,fruit,fruit_avoid_01,avoid,회피력,1,1
702042,회피 열매 중급,x,fruit,fruit_avoid_02,avoid,회피력,2,1
702043,회피 열매 상급,x,fruit,fruit_avoid_03,avoid,회피력,3,1
702044,회피 열매 최상급,x,fruit,fruit_avoid_04,avoid,회피력,4,1
702051,체력 열매 하급,x,fruit,fruit_hp_01,hp,최대 체력,1,1
702052,체력 열매 중급,x,fruit,fruit_hp_02,hp,최대 체력,2,1
702053,체력 열매 상급,x,fruit,fruit_hp_03,hp,최대 체력,3,1
702054,체력 열매 최상급,x,fruit,fruit_hp_04,hp,최대 체력,4,1
702061,적중 열매 하급,x,fruit,fruit_hit_rate_01,hit_rate,적중,1,1
702062,적중 열매 중급,x,fruit,fruit_hit_rate_02,hit_rate,적중,2,1
702063,적중 열매 상급,x,fruit,fruit_hit_rate_03,hit_rate,적중,3,1
702064,적중 열매 최상급,x,fruit,fruit_hit_rate_04,hit_rate,적중,4,1
702071,치명 피해 열매 하급,x,fruit,fruit_cri_dmg_01,cri_dmg,치명 피해,1,1
702072,치명 피해 열매 중급,x,fruit,fruit_cri_dmg_02,cri_dmg,치명 피해,2,1
702073,치명 피해 열매 상급,x,fruit,fruit_cri_dmg_03,cri_dmg,치명 피해,3,1
702074,치명 피해 열매 최상급,x,fruit,fruit_cri_dmg_04,cri_dmg,치명 피해,4,1
702081,치명 확률 열매 하급,x,fruit,fruit_cri_chance_01,cri_chance,치명 확률,1,1
702082,치명 확률 열매 중급,x,fruit,fruit_cri_chance_02,cri_chance,치명 확률,2,1
702083,치명 확률 열매 상급,x,fruit,fruit_cri_chance_03,cri_chance,치명 확률,3,1
702084,치명 확률 열매 최상급,x,fruit,fruit_cri_chance_04,cri_chance,치명 확률,4,1
702091,치명 회피 열매 하급,x,fruit,fruit_cri_avoid_01,cri_avoid,치명 방어,1,1
702092,치명 회피 열매 중급,x,fruit,fruit_cri_avoid_02,cri_avoid,치명 방어,2,1
702093,치명 회피 열매 상급,x,fruit,fruit_cri_avoid_03,cri_avoid,치명 방어,3,1
702094,치명 회피 열매 최상급,x,fruit,fruit_cri_avoid_04,cri_avoid,치명 방어,4,1
702101,망각의 열매,x,fruit,fruit_reset_01,reset,x,1,1
703001,캐쉬 일반,특별한 거래에 사용되는 진귀한 보석,cash,cash_01,x,x,1,1
703002,캐쉬 희귀,특별한 거래에 사용되는 진귀한 보석,cash,cash_02,x,x,2,5
703003,캐쉬 영웅,특별한 거레에 사용되는 진귀한 보석,cash,cash_03,x,x,3,9
703004,캐쉬 전설,특별한 거레에 사용되는 진귀한 보석,cash,cash_04,x,x,4,13
703005,클리어보상,아이템 설명 임시,cash,clear_reward_01,x,x,1,5
703006,클리어보상,아이템 설명 임시,cash,clear_reward_02,x,x,2,10
703007,클리어보상,아이템 설명 임시,cash,clear_reward_03,x,x,3,20
