id,skill_form,type,t_name,res_1,res_2,res_3,animation,motion_type,dmg_type,dir,chance_type,chance_value,target_type,indicator_type,power_rate,default_power,hit,val_1,val_2,val_3,status_effect_rate,status_effect_type,for_gd,desc,to_programmer
230001,code,skill_melee_hack,근접공격,skill_attack,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,5000,2000,0,0,x,0,다크 크리스탈 수호병 공격,캐릭터가 직접 대상 앞으로 이동하여 공격한다(공격 모션 필요). 공격이 끝나면 제 자리로 돌아온다.
230002,script,skill_missile_arrow,화살공격,res/missile/missile_arrow/missile_arrow.png,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,다크 크리스탈 궁병탄,단발 탄과 동일
230003,script,skill_missile_spear,창공격,res/missile/shot_normal_@/shot_normal_@.spine,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,다크 크리스탈 창병,대상 방향으로 관통하는 투사체 발사
230004,script,skill_missile_bomb,폭탄,res/missile/missile_bomber/missile_bomber.vrp,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,다크 크리스탈 포병,폭발 마력구와 동일
230005,script,skill_missile_bounce,바운스,shot_glave,x,x,x,instant,physical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
230006,script,skill_missile_magicshot,마법공격,res/missile/missile_magicshot/missile_magicshot.vrp,x,x,x,instant,magical,-1,rate,1,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,다크 크리스탈 마법사,호밍 애로우와 동일
230007,code,skill_heal_single,회복,res/effect/skill_heal_monster/skill_heal_monster.vrp,x,x,x,instant,magical,-1,rate,1,ally_hp_low,x,200,200,4,1,1,0,0,x,0,다크 크리스탈 치유사,타겟 치유 스킬과 동일
230008,script,skill_missile_bombard,폭격,res/missile/missile_bomb/missile_bomb.spine,res/missile/effect_hit_magical_fire/effect_hit_magical_fire.spine,res/indicator/warning_sign/warning_sign.vrp,x,instant,physical,-1,rate,1,enemy_distance_line,enemy_range_point,200,200,1,1,1,0,0,x,0,,
230009,code,skill_summon,소환,effect_summon,x,x,x,instant,magical,0,rate,0.5,self,x,0,0,1,1,0,0,0,x,0,,
230010,code,skill_butt,돌진,effect_butt,x,x,x,instant,physical,-1,rate,0.2,enemy_distance_line,x,100,100,1,1,1,0,0,x,0,,
