type,t_desc,val_1,val_2,end_type_1,end_type_2,end_type_3,end_type_4
none,조건 없이 발동,x,0,finish,x,main_die,x
front,캐릭터를 전위 배치 시 발동,front,0,finish,move_away,main_die,x
middle,캐릭터를 중위 배치 시 발동,middle,0,finish,move_away,main_die,x
rear,캐릭터를 후위 배치 시 발동,rear,0,finish,move_away,main_die,x
attr_earth_3,파티에 땅 속성 캐릭터 {2}개 이상일 경우 발동,earth,3,finish,x,main_die,sub_die
attr_water_3,파티에 물 속성 캐릭터 {2}개 이상일 경우 발동,water,3,finish,x,main_die,sub_die
attr_wind_3,파티에 바람 속성 캐릭터 {2}개 이상일 경우 발동,wind,3,finish,x,main_die,sub_die
attr_fire_3,파티에 불 속성 캐릭터 {2}개 이상일 경우 발동,fire,3,finish,x,main_die,sub_die
attr_light_3,파티에 빛 속성 캐릭터 {2}개 이상일 경우 발동,light,3,finish,x,main_die,sub_die
attr_dark_3,파티에 어둠 속성 캐릭터 {2}개 이상일 경우 발동,dark,3,finish,x,main_die,sub_die
evol_hatch_3,파티에 해치 단계인 캐릭터 {2}개 이상일 경우 발동,hatch,3,finish,x,main_die,sub_die
evol_hatchling_3,파티에 해츨링 단계인 캐릭터 {2}개 이상일 경우 발동,hatchling,3,finish,x,main_die,sub_die
evol_adult_3,파티에 성룡 단계인 캐릭터 {2}개 이상일 경우 발동,adult,3,finish,x,main_die,sub_die
