tid,tier,group,win_reward,lose_reward,weekly_reward,cutline,rank,weekly_init_score,rank_min,rank_max,ratio_min,ratio_max
11,legend,legend,honor;5,honor;3,"cash;6000,valor;100",2200,1,1000,1,1,,
12,master_1,master,honor;5,honor;3,"cash;5200,valor;80",2100,2,1000,2,2,,
13,master_2,master,honor;5,honor;3,"cash;5000,valor;80",2100,3,1000,3,3,,
14,master_3,master,honor;5,honor;3,"cash;4800,valor;80",2100,5,1000,4,5,,
15,master_4,master,honor;5,honor;3,"cash;4600,valor;70",2100,10,1000,6,10,,
16,hero_1,hero,honor;5,honor;3,"cash;4400,valor;60",2100,20,1000,11,20,,
17,hero_2,hero,honor;5,honor;3,"cash;4200,valor;50",2100,50,1000,21,30,,
18,hero_3,hero,honor;5,honor;3,"cash;4000,valor;30",2000,100,1000,31,50,,
19,diamond_1,diamond,honor;5,honor;3,"cash;3700,valor;20",1900,200,1000,51,75,,
20,diamond_2,diamond,honor;5,honor;3,"cash;3500,valor;10",1800,300,1000,76,100,,
21,diamond_3,diamond,honor;5,honor;3,cash;3000,1700,400,1000,,,0,5
22,platinum_1,platinum,honor;5,honor;3,cash;3000,1700,400,1000,,,5,10
23,platinum_2,platinum,honor;5,honor;3,cash;3000,1700,400,1000,,,10,15
24,platinum_3,platinum,honor;5,honor;3,cash;3000,1700,400,1000,,,15,20
25,gold_1,gold,honor;5,honor;3,cash;3000,1700,400,1000,,,20,25
26,gold_2,gold,honor;5,honor;3,cash;3000,1700,400,1000,,,25,30
27,gold_3,gold,honor;5,honor;3,cash;3000,1700,400,1000,,,30,40
28,silver_1,silver,honor;5,honor;3,cash;2600,1600,600,1000,,,40,50
29,silver_2,silver,honor;5,honor;3,cash;2300,1500,800,1000,,,50,60
30,silver_3,silver,honor;5,honor;3,cash;2000,1400,1000,1000,,,60,70
31,bronze_1,bronze,honor;5,honor;3,cash;1800,1300,1200,1000,,,70,80
32,bronze_2,bronze,honor;5,honor;3,cash;1600,1200,1400,1000,,,80,90
33,bronze_3,bronze,honor;5,honor;3,cash;1200,1100,1700,1000,,,90,100
99,beginner,beginner,honor;5,honor;3,cash;800,0,2000,1000,,,,
