id,r_comment,atd_id,step,tag_hot,t_desc,item_id,value,r_name
2000101,normal,20001,1,,,700002,70000,골드
2000102,normal,20001,2,,,700001,500,다이아
2000103,normal,20001,3,,,700101,300,날개
2000104,normal,20001,4,,,700007,300,자수정
2000105,normal,20001,5,,,700002,140000,골드
2000106,normal,20001,6,true,,703016,1,신비의 알
2000107,normal,20001,7,,,704023,1,3등급 룬
2000108,normal,20001,8,,,700002,70000,골드
2000109,normal,20001,9,,,700001,500,다이아
2000110,normal,20001,10,,,700101,300,날개
2000111,normal,20001,11,,,700007,300,자수정
2000112,normal,20001,12,,,700002,140000,골드
2000113,normal,20001,13,true,,703016,1,신비의 알
2000114,normal,20001,14,,,704023,1,3등급 룬
2000115,normal,20001,15,,,700002,70000,골드
2000116,normal,20001,16,,,700001,700,다이아
2000117,normal,20001,17,,,700101,300,날개
2000118,normal,20001,18,,,700007,300,자수정
2000119,normal,20001,19,,,700002,140000,골드
2000120,normal,20001,20,true,,703019,1,고대의 알
2000121,normal,20001,21,,,704024,1,4등급 룬
2000122,normal,20001,22,,,700002,70000,골드
2000123,normal,20001,23,,,700001,1000,다이아
2000124,normal,20001,24,,,700101,300,날개
2000125,normal,20001,25,,,700007,300,자수정
2000126,normal,20001,26,,,700002,140000,골드
2000127,normal,20001,27,,,700001,1500,다이아
2000128,normal,20001,28,true,,703005,1,전설의 알
2000201,normal,20002,1,,,700002,50000,골드
2000202,normal,20002,2,,,700001,300,다이아
2000203,normal,20002,3,,,700101,300,날개
2000204,normal,20002,4,,,703009,1,화염의 알
2000205,normal,20002,5,,,700007,300,자수정
2000206,normal,20002,6,,,704024,1,4등급 룬
2000207,normal,20002,7,true,,703010,1,신성의 알
2000208,normal,20002,8,,,700002,50000,골드
2000209,normal,20002,9,,,700001,300,다이아
2000210,normal,20002,10,,,700101,300,날개
2000211,normal,20002,11,,,703008,1,얼음의 알
2000212,normal,20002,12,,,700007,300,자수정
2000213,normal,20002,13,,,704024,1,4등급룬
2000214,normal,20002,14,true,,703019,1,고대의알
2000215,normal,20002,15,,,700002,100000,골드
2000216,normal,20002,16,,,700001,500,다이아
2000217,normal,20002,17,,,700101,500,날개
2000218,normal,20002,18,,,703007,1,대지의알
2000219,normal,20002,19,,,700007,500,자수정
2000220,normal,20002,20,,,704025,1,5등급룬
2000221,normal,20002,21,true,,703011,1,암흑의알
2000222,normal,20002,22,,,700002,100000,골드
2000223,normal,20002,23,,,700001,500,다이아
2000224,normal,20002,24,,,700101,500,날개
2000225,normal,20002,25,,,703004,1,환상의알
2000226,normal,20002,26,,,700007,500,자수정
2000227,normal,20002,27,,,704025,1,5등급룬
2000228,normal,20002,28,true,,703005,1,전설의알
2000301,normal,20003,1,,,700002,50000,골드
2000302,normal,20003,2,,,700001,300,다이아
2000303,normal,20003,3,,,700101,300,날개
2000304,normal,20003,4,,,703009,1,화염의 알
2000305,normal,20003,5,,,700007,300,자수정
2000306,normal,20003,6,,,704024,1,4등급 룬
2000307,normal,20003,7,true,,700401,24,자동줍기 1일
2000308,normal,20003,8,,,700002,50000,골드
2000309,normal,20003,9,,,700001,300,다이아
2000310,normal,20003,10,,,700101,300,날개
2000311,normal,20003,11,,,703008,1,얼음의 알
2000312,normal,20003,12,,,700007,300,자수정
2000313,normal,20003,13,,,704024,1,4등급룬
2000314,normal,20003,14,true,,703003,1,초월의 알
2000315,normal,20003,15,,,700002,100000,골드
2000316,normal,20003,16,,,700001,500,다이아
2000317,normal,20003,17,,,700101,500,날개
2000318,normal,20003,18,,,703007,1,대지의알
2000319,normal,20003,19,,,700007,500,자수정
2000320,normal,20003,20,,,704025,1,5등급룬
2000321,normal,20003,21,true,,703019,1,고대의 알
2000322,normal,20003,22,,,700002,100000,골드
2000323,normal,20003,23,,,700001,500,다이아
2000324,normal,20003,24,,,700101,500,날개
2000325,normal,20003,25,,,703004,1,환상의알
2000326,normal,20003,26,,,700007,500,자수정
2000327,normal,20003,27,,,704025,1,5등급룬
2000328,normal,20003,28,true,,703005,1,전설의알
2000401,normal,20004,1,,,700002,50000,골드
2000402,normal,20004,2,,,700001,300,다이아
2000403,normal,20004,3,,,700101,300,날개
2000404,normal,20004,4,,,703009,1,화염의 알
2000405,normal,20004,5,,,700007,300,자수정
2000406,normal,20004,6,,,704024,1,4등급 룬
2000407,normal,20004,7,true,,700401,24,아이템 자동 획득
2000408,normal,20004,8,,,700002,50000,골드
2000409,normal,20004,9,,,700001,300,다이아
2000410,normal,20004,10,,,700101,300,날개
2000411,normal,20004,11,,,703008,1,얼음의 알
2000412,normal,20004,12,,,700007,300,자수정
2000413,normal,20004,13,,,704024,1,4등급 룬
2000414,normal,20004,14,true,,703005,1,전설의 알
2000415,normal,20004,15,,,700002,100000,골드
2000416,normal,20004,16,,,700001,500,다이아
2000417,normal,20004,17,,,700101,500,날개
2000418,normal,20004,18,,,703007,1,대지의 알
2000419,normal,20004,19,,,700007,500,자수정
2000420,normal,20004,20,,,704025,1,5등급 룬
2000421,normal,20004,21,true,,703003,1,초월의 알
2000422,normal,20004,22,,,700002,100000,골드
2000423,normal,20004,23,,,700001,500,다이아
2000424,normal,20004,24,,,700101,500,날개
2000425,normal,20004,25,,,703004,1,환상의 알
2000426,normal,20004,26,,,700007,500,자수정
2000427,normal,20004,27,,,704025,1,5등급 룬
2000428,normal,20004,28,true,,703005,1,전설의 알
2000501,newbie,20005,1,,,700002,100000,골드
2000502,newbie,20005,2,,,700001,500,다이아
2000503,newbie,20005,3,,,700711,1,찬란한 날개
2000504,newbie,20005,4,,,703004,1,환상의 알
2000505,newbie,20005,5,,,700007,500,자수정
2000506,newbie,20005,6,,,704026,1,6등급 룬
2000507,newbie,20005,7,true,,700401,24,아이템 자동 획득
2000508,newbie,20005,8,,,700002,100000,골드
2000509,newbie,20005,9,,,700001,500,다이아
2000510,newbie,20005,10,,,700711,3,찬란한 날개
2000511,newbie,20005,11,,,703004,1,환상의 알
2000512,newbie,20005,12,,,700007,500,자수정
2000513,newbie,20005,13,,,704026,1,6등급 룬
2000514,newbie,20005,14,true,,703005,1,전설의 알
2000515,newbie,20005,15,,,700002,150000,골드
2000516,newbie,20005,16,,,700001,1000,다이아
2000517,newbie,20005,17,,,700711,5,찬란한 날개
2000518,newbie,20005,18,,,703004,1,환상의 알
2000519,newbie,20005,19,,,700007,1000,자수정
2000520,newbie,20005,20,,,704026,1,6등급 룬
2000521,newbie,20005,21,true,,703003,1,초월의 알
2000522,newbie,20005,22,,,700002,150000,골드
2000523,newbie,20005,23,,,700001,1500,다이아
2000524,newbie,20005,24,,,700711,5,찬란한 날개
2000525,newbie,20005,25,,,703004,1,환상의 알
2000526,newbie,20005,26,,,700007,1000,자수정
2000527,newbie,20005,27,,,704026,1,6등급 룬
2000528,newbie,20005,28,true,,703005,1,전설의 알
2000601,normal,20006,1,,,700101,300,날개
2000602,normal,20006,2,,,700101,300,날개
2000603,normal,20006,3,,,700101,300,날개
2000604,normal,20006,4,,,700101,300,날개
2000605,normal,20006,5,,,700101,300,날개
2000606,normal,20006,6,,,700101,300,날개
2000607,normal,20006,7,true,,700711,10,찬란한 날개
2000608,normal,20006,8,,,700101,400,날개
2000609,normal,20006,9,,,700101,400,날개
2000610,normal,20006,10,,,700101,400,날개
2000611,normal,20006,11,,,700101,400,날개
2000612,normal,20006,12,,,700101,400,날개
2000613,normal,20006,13,,,700101,400,날개
2000614,normal,20006,14,true,,703005,1,전설의 알
2000615,normal,20006,15,,,700101,500,날개
2000616,normal,20006,16,,,700101,500,날개
2000617,normal,20006,17,,,700101,500,날개
2000618,normal,20006,18,,,700101,500,날개
2000619,normal,20006,19,,,700101,500,날개
2000620,normal,20006,20,,,700101,500,날개
2000621,normal,20006,21,true,,700001,1500,다이아
2000622,normal,20006,22,,,700101,600,날개
2000623,normal,20006,23,,,700101,600,날개
2000624,normal,20006,24,,,700101,600,날개
2000625,normal,20006,25,,,700101,600,날개
2000626,normal,20006,26,,,700101,600,날개
2000627,normal,20006,27,,,700101,600,날개
2000628,normal,20006,28,true,,703005,1,전설의 알
