gift_id,group,r_reward_name,r_reward_count,contents,remain_cnt,r_sum
10101,first,물 베루스,1,first_1,30,
10102,first,빛 스마트드래곤,1,first_2,30,
10103,first,땅 메탈마그넷드래곤,1,first_3,30,
10204,first,전설의 알,1,703005;1,30,
10305,first,고대의 알,1,703019;1,50,
10306,first,영웅의 알,1,703006;1,100,
10307,first,초월의 알,1,703003;1,50,
10308,first,골드,1000000,700002;1000000,120,
10309,first,다이아,1000,700001;1000,120,
10410,first,환상의 알,1,703004;1,300,
10411,first,암흑의 알,2,703011;2,400,
10412,first,골드,500000,700002;500000,430,
10413,first,신성의 알,2,703010;2,400,
10414,first,5등급 강화 포인트,10,760005;10,400,
10415,first,다이아,500,700001;500,400,
10516,first,골드,300000,700002;300000,600,
10517,first,날개,600,700101;600,800,
10518,first,자수정,600,700007;600,800,
10519,first,다이아,400,700001;400,600,
10520,first,신비의 알,2,703016;2,250,
10621,first,다이아,300,700001;300,500,
10622,first,날개,500,700101;500,1500,
10623,first,캡슐코인,1,700012;1,1060,
10624,first,신비의 알,1,703016;1,1000,10000
20101,second,어둠 에일리언드래곤,1,second_1,30,
20102,second,불 삐에로드래곤,1,second_2,50,
20103,second,물 파이거,1,second_3,50,
20204,second,전설의 알,1,703005;1,20,
20205,second,초월의 알,1,703003;1,30,
20206,second,고대의 알,1,703019;1,40,
20207,second,기적의 알,1,703002;1,50,
20308,second,영웅의 알,1,703006;1,130,
20309,second,캡슐코인,1,700012;1,100,
20310,second,5등급 강화 포인트,5,760005;5,600,
20311,second,4등급 강화 포인트,20,760004;20,600,
20312,second,다이아,500,700001;500,300,
20413,second,환상의 알,1,703004;1,1000,
20414,second,신성의 알,1,703010;1,1000,
20415,second,화염의 알,1,703009;1,1000,
20416,second,얼음의 알,1,703008;1,1000,
20417,second,대지의 알,1,703007;1,1000,
20418,second,암흑의 알,1,703011;1,1000,
20519,second,신비의 알,1,703016;1,1800,
20520,second,다이아,400,700001;400,300,
20521,second,날개,600,700101;600,1800,
20522,second,자수정,600,700007;600,1800,
20523,second,골드,500000,700002;500000,300,
20624,second,다이아,300,700001;300,500,
20625,second,자수정,400,700007;400,2500,
20626,second,골드,300000,700002;300000,500,
20627,second,날개,400,700101;400,2500,20000
