use,value,r_desc
version,202326,버전 정보
stage_open_reward,700002;20000,스테이지 오픈 보상 (정규 시즌은 사용하지 않음)
stage_clear_reward,"700002;30000,704900;2",스테이지 클리어 보상
stage_clear_reward_master,"700002;100000,704900;5",스테이지 클리어 보상 (마스터 신전)
cost_value,30,스테이지 별 입장권 소모량 기본값.
cost_value_master,50,마스터 스테이지 입장권 소모량
cost_delta,0,스테이지 별 입장권 소모량 델타값.
cost_maximum,10,스테이지 별 입장권 소모량 최대값.
cost_type,st,스태미너 타입(현재 날개 사용중)
enter_condition_tier,27,그림자의 신전 입장 조건 (table_arena의 tid 기준. 11~value 범위일 경우 조건 만족)
master_stage_limit,40,마스터 스테이지 범위 (상위1위~value)
extraction_range,40,"덱 추출 범위(%), 콜로세움 전체 참여 유저 수 기준"
