id,cell,lap,mail_content,category,cell_weight
1001,1,,700330;3,cell,1
1002,2,,700002;100000,cell,1
1003,3,,700101;200,cell,1
1004,4,,700017;150000,cell,1
1005,5,,779134;3,cell,1
1006,6,,702041;10,cell,1
1007,7,,700001;300,cell,1
1008,8,,700007;3000,cell,1
1009,9,,702045;10,cell,1
1010,10,,700330;2,cell,2
1011,11,,700002;100000,cell,1
1012,12,,700101;200,cell,1
1013,13,,700017;150000,cell,1
1014,14,,779134;3,cell,1
1015,15,,702042;10,cell,1
1016,16,,700001;300,cell,1
1017,17,,700330;2,cell,2
1018,18,,700002;100000,cell,1
1019,19,,700101;200,cell,1
1020,20,,700017;150000,cell,1
1021,21,,779134;3,cell,1
1022,22,,702043;10,cell,1
1023,23,,700001;300,cell,1
1024,24,,700007;3000,cell,1
1025,25,,779134;3,cell,1
1026,26,,700330;2,cell,2
1027,27,,700002;100000,cell,1
1028,28,,700101;200,cell,1
1029,29,,700017;150000,cell,1
1030,30,,779134;3,cell,1
1031,31,,702044;10,cell,1
1032,32,,700001;300,cell,1
2001,,1,700801;10,lap,
2002,,2,700801;15,lap,
2003,,3,700801;15,lap,
2004,,5,700801;20,lap,
2006,,7,700801;20,lap,
2009,,10,771925;1,lap,
