lv,price,atk,def,hp,t_desc
0,1000,0,0,0,[{1}] 원종은 문헌에서만 찾아 \\n 볼 수 있을 뿐  아직 어떠한 정보도 없다.
1,1000,10,10,10,[{1}] 원종이 언급된 고대 문헌을 \\n 발견해 대한 연구가 시작되었다.
2,1000,20,20,20,[{1}] 원종이 유타칸에 나타난 \\n 시기가 밝혀졌다. [{1}] 원종과 \\n 인간과의 인연은 계속되고 있다.
3,1000,30,30,30,[{1}] 원종이 좋아하는 열매를 \\n 알아냈다.[{1}] 원종과 \\n 조금 더 가까워진 것 같다.
4,1000,40,40,40,[{1}] 원종의 성장 주기를 확인해 \\n 이제 [{1}] 원종의 기초 체력이 \\n  더 강해진다.
5,1000,50,50,50,"[{1}] 원종의 서식지를  \\n 좋아하는 환경으로 바꿔, \\n 이제 더 좋은 컨디션을 유지할 수 있게 되었다."
6,1000,60,60,60,[{1}] 원종은 자신들의 기원을 \\n 확인했고 그 후 더 강철 같은 의지로 \\n  테이머와 함께 하고 있다.
7,1000,70,70,70,[{1}] 원종의 날개의 구조를 \\n 알게 되었다. 이제 [{1}] 원종은 \\n  더 빠른 속도로 날 수 있다.
8,1000,80,80,80,연구를 통해 [{1}] 원종의 \\n 비늘 강화법을 발견해 적용했다. \\n 이제 더 강한 공격도 버틸 수 있다.
9,1000,90,90,90,[{1}] 원종이 유타칸에 온 이유를 \\n 알게 되었고 이제 그들의 의지를 함께 \\n 하는 동지가 되었다.
10,,100,100,100,[{1}] 원종의 모든 것을 알아냈고 \\n [{1}] 원종의 모든 힘을 \\n 이끌어낼 수 있게 되었다.
