chapter_id,r_difficulty,r_chapter,item_min,item_max,cash_weight,gold_weight,amethyst_weight,cash_min,cash_max,gold_min,gold_max,amethyst_min,amethyst_max,cash_clear,gold_clear,amethyst_clear,get_item_id,get_item_min,get_item_max
101,1,1,3,6,10,10,10,1,1,110,120,1,1,2,173,2,,,
102,1,2,3,6,10,10,10,1,1,110,120,1,1,2,173,2,,,
103,1,3,5,6,10,10,10,1,1,110,125,1,1,2,215,2,,,
104,1,4,5,6,10,10,10,1,1,110,125,1,1,2,215,2,,,
105,1,5,3,6,10,10,10,1,2,120,230,1,2,2,263,2,,,
106,1,6,3,6,10,10,10,1,2,120,230,1,2,2,263,2,,,
107,1,7,4,7,10,10,10,1,2,120,220,1,2,3,312,3,,,
108,1,8,4,7,10,10,10,1,2,120,220,1,2,3,312,3,,,
109,1,9,3,7,10,10,10,1,3,140,310,1,3,3,375,3,,,
110,1,10,3,7,10,10,10,1,3,140,310,1,3,3,375,3,,,
111,1,11,4,7,10,10,10,1,3,100,420,1,3,4,477,4,,,
112,1,12,4,7,10,10,10,1,3,100,420,1,3,4,477,4,,,
198,1,98,4,7,10,10,10,5,10,350,1085,5,10,14,1315,14,,,
199,1,99,4,7,10,10,10,5,10,350,1085,5,10,14,1315,14,,,
201,2,1,4,7,10,10,10,1,4,276,348,1,4,5,572,5,,,
202,2,2,4,7,10,10,10,1,4,276,348,1,4,5,572,5,,,
203,2,3,4,7,10,10,10,2,4,304,402,2,4,6,647,6,,,
204,2,4,4,7,10,10,10,2,4,304,402,2,4,6,647,6,,,
205,2,5,4,7,10,10,10,2,5,359,408,2,5,6,703,6,,,
206,2,6,4,7,10,10,10,2,5,359,408,2,5,6,703,6,,,
207,2,7,4,7,10,10,10,3,5,359,522,3,5,7,808,7,,,
208,2,8,4,7,10,10,10,3,5,359,522,3,5,7,808,7,,,
209,2,9,4,7,10,10,10,3,6,414,522,3,6,8,858,8,,,
210,2,10,4,7,10,10,10,3,6,414,522,3,6,8,858,8,,,
211,2,11,4,7,10,10,10,4,6,414,648,4,6,9,974,9,,,
212,2,12,4,7,10,10,10,4,6,414,648,4,6,9,974,9,,,
298,2,98,4,7,10,10,10,5,20,720,2088,5,20,23,2574,23,,,
299,2,99,4,7,10,10,10,5,20,720,2088,5,20,23,2574,23,,,
301,3,1,4,7,10,10,10,4,7,442,650,4,7,10,1001,10,,,
302,3,2,4,7,10,10,10,4,7,442,650,4,7,10,1001,10,,,
303,3,3,4,7,10,10,10,5,7,469,720,5,7,11,1090,11,,,
304,3,4,4,7,10,10,10,5,7,469,720,5,7,11,1090,11,,,
305,3,5,4,7,10,10,10,5,8,497,780,5,8,12,1171,12,,,
306,3,6,4,7,10,10,10,5,8,497,780,5,8,12,1171,12,,,
307,3,7,4,7,10,10,10,6,8,524,850,6,8,13,1260,13,,,
308,3,8,4,7,10,10,10,6,8,524,850,6,8,13,1260,13,,,
309,3,9,4,7,10,10,10,6,9,552,920,6,9,14,1349,14,,,
310,3,10,4,7,10,10,10,6,9,552,920,6,9,14,1349,14,,,
311,3,11,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,,,
312,3,12,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,,,
398,3,98,4,7,10,10,10,8,28,910,3220,8,28,33,3786,33,,,
399,3,99,4,7,10,10,10,8,28,910,3220,8,28,33,3786,33,,,
401,4,1,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,101,107
402,4,2,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,111,117
403,4,3,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,121,127
404,4,4,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,131,137
405,4,5,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,141,147
406,4,6,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,151,157
407,4,7,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,161,167
408,4,8,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,171,177
409,4,9,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,181,187
410,4,10,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,191,197
411,4,11,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,201,207
412,4,12,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,211,217
498,4,98,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
499,4,99,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
501,5,1,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,221,227
502,5,2,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,231,237
503,5,3,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,241,247
504,5,4,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,251,257
505,5,5,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,261,267
506,5,6,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,271,277
507,5,7,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,281,287
508,5,8,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,291,297
509,5,9,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,301,307
510,5,10,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,311,317
511,5,11,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,321,327
512,5,12,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,331,337
598,5,98,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
599,5,99,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
601,6,1,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,341,347
602,6,2,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,351,357
603,6,3,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,361,367
604,6,4,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,371,377
605,6,5,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,381,387
606,6,6,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,391,397
607,6,7,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,401,407
608,6,8,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,411,417
609,6,9,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,421,427
610,6,10,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,431,437
611,6,11,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,441,447
612,6,12,4,7,10,10,10,7,9,580,1020,7,9,15,1467,15,705091,451,457
698,6,98,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
699,6,99,4,7,10,10,10,15,35,1300,4080,15,45,46,4932,55,,,
