item_id,r_category,t_name,ui_priority,hide_at_egg_book,r_name,type,role,attr,s_lm_rate,unduplicate,rarity,birthgrade_min,birthgrade_max,s_birthgrade_1,s_birthgrade_2,s_birthgrade_3,s_birthgrade_4,s_birthgrade_5,s_birthgrade_6,r_grade_sum,s_attr_common,s_attr_unique,s_attr_earth,s_attr_water,s_attr_fire,s_attr_light,s_attr_dark,r_attr_sum,t_desc,s_specific_dragon,s_pick_dragon,s_chance_up
700001,확률UP,확률 업 소환,-1,1,egg_cash_mysteryup,pick,,,0,0,1,3,5,0,0,8965,925,100,10,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
700002,고급 소환,고급 소환,-1,1,egg_cash_mystery,pick,,,0,0,1,3,5,0,0,8965,925,100,10,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
700003,우정,우정 소환,-1,1,egg_friendship,fp,,,0,0,0,1,3,6000,3700,300,0,0,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
700004,신화 소환,신화 확률 업 소환,-1,1,egg_cash_myth,pick,,,0,0,1,3,5,0,0,8965,925,100,10,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703001,최상급,빛나는 전설의 알,110,,egg_super_myth,mg,,,0.1,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703002,상급,기적의 알,80,,egg_super_miracle,mg,,,0.1,0,1,4,4,0,0,0,10000,0,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703003,최상급,초월의 알,110,,egg_super_transcendence,mg,,,0.1,0,1,4,5,0,0,0,9300,700,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703004,중급,환상의 알,50,,egg_super_illusion,mg,,,0.1,0,1,3,5,0,0,8975,925,100,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703005,최상급,전설의 알,150,,egg_high_legend,pick,,,0,0,1,5,5,0,0,0,0,10000,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
703006,상급,영웅의 알,80,,egg_high_hero,pick,,,0,0,1,4,4,0,0,0,10000,0,0,10000,9000,1000,3000,3000,3000,500,500,10000,0,,,
