tid,tier,group,win_reward,lose_reward,rank_min,rank_max,ratio_min,ratio_max,r_name
11,legend,legend,gold;30000,gold;15000,1,1,,,1위
12,master_1,master,gold;30000,gold;15000,2,2,,,2위
13,master_2,master,gold;30000,gold;15000,3,3,,,3위
14,master_3,master,gold;30000,gold;15000,4,5,,,4위~5위
15,hero_1,hero,gold;30000,gold;15000,6,20,,,6위~20위
16,hero_2,hero,gold;30000,gold;15000,21,50,,,21위~50위
17,diamond_1,diamond,gold;30000,gold;15000,51,100,,,51위~100위
18,diamond_2,diamond,gold;30000,gold;15000,,,0,5,상위 5%
19,gold_1,gold,gold;30000,gold;15000,,,5,10,상위 10%
20,gold_2,gold,gold;30000,gold;15000,,,10,15,상위 15%
21,silver_1,silver,gold;30000,gold;15000,,,15,25,상위 25%
22,silver_2,silver,gold;30000,gold;15000,,,25,50,상위 50%
23,bronze_1,bronze,gold;30000,gold;15000,,,50,75,상위 75%
24,bronze_2,bronze,gold;30000,gold;15000,,,75,100,상위 100%
99,beginner,beginner,gold;30000,gold;15000,,,,,입문자
