rank_id,r_name,rank_min,rank_max,ratio_min,ratio_max,reward,version
1,1,1,1,,,"779265;1,cash;30000,700651;7",s_20231016
2,2,2,2,,,"703042;1,cash;30000,700651;7",s_20231016
3,3,3,3,,,"703042;1,cash;26000,700651;6",s_20231016
4,4,4,4,,,"703042;1,cash;23000,700651;5",s_20231016
5,5,5,5,,,"703042;1,cash;21000,700651;4",s_20231016
6,6~10,6,10,,,"703041;2,cash;20000,700651;4",s_20231016
7,11~20,11,20,,,"703041;1,cash;20000,700651;3",s_20231016
8,21~30,21,30,,,"703041;1,cash;17000,700651;3",s_20231016
9,31~40,31,40,,,"703041;1,cash;15000,700651;2",s_20231016
10,41~50,41,50,,,"703041;1,cash;13000,700651;2",s_20231016
11,51~100,51,100,,,"703001;1,cash;12000,700651;2",s_20231016
12,101~150,101,150,,,"703001;1,cash;11000,700651;2",s_20231016
13,151~200,151,200,,,"703001;1,cash;10000,700651;2",s_20231016
14,201~250,201,250,,,"703001;1,cash;9000,700651;2",s_20231016
15,251~300,251,300,,,"703001;1,cash;8000,700651;2",s_20231016
16,~5%,,,0,5,"703005;1,cash;6000,700651;2",s_20231016
17,~10%,,,5,10,"703005;1,cash;5000,700651;1",s_20231016
18,~20%,,,10,20,"703005;1,cash;4000,700651;1",s_20231016
19,~30%,,,20,30,"703005;1,cash;3000,700651;1",s_20231016
20,~40%,,,30,40,"703005;1,cash;2000,700651;1",s_20231016
21,~50%,,,40,50,"cash;1000,700651;1",s_20231016
22,~100%,,,50,100,700651;1,s_20231016
