item,category,t_name,t_desc,icon,type,full_type,attr,role,color,rarity,grade,evolution,did,count,sale_price,get_region,package,tool_name,inbox_icon
700001,simple,다이아,"골드보다 가치가 높은 화폐로 취급되는 보석. 드래곤 소환이나 골드 교환, 아이템 구입에 사용된다.",res/ui/icons/item/cash.png,cash,cash,,,,,,,,1,328,,,다이아,
700002,simple,골드,유타칸 대륙의 공식 화폐. 아이템 구입이나 드래곤 성장 비용으로 사용된다.,res/ui/icons/item/gold.png,gold,gold,,,,,,,,1,327,,,골드,
700003,simple,우정의 징표,"친구와의 우정을 나타내는 징표. 친구에게 도움을 주거나 받을 때, 항상 우정의 징표를 교환하는 것을 잊지 말자.",res/ui/icons/item/fp.png,fp,fp,,,,,,,,1,102,,,우정의 징표,
700005,simple,명예,콜로세움에서 자신의 강함을 증명하면 제공되는 일종의 훈장,res/ui/icons/item/honor.png,honor,honor,,,,,,,,1,331,,,명예,
700006,simple,훈장,훈장 획득,res/ui/icons/item/badge.png,badge,badge,,,,,,,,1,328,,,훈장,
700007,simple,자수정,몬스터들을 정화시키면 간혹 얻을 수 있는 신비한 빛을 내는 보석. 상점에서 다른 아이템들과 교환할 수 있다.,res/ui/icons/item/amethyst.png,amethyst,amethyst,,,,,,,,1,5000,,,자수정,
700008,simple,마일리지,부화소에서 알을 부화시켰을 때 얻을 수 있는 미지의 포인트,res/ui/icons/item/mileage.png,mileage,mileage,,,,,,,,,,,,마일리지,
700009,simple,토파즈,"고대의 빛이 깃든 보석. 드래곤들이 라테아로 떠난 자리에 간혹 남는 매우 희귀한 보석으로, 일반적인 방법으로는 얻을 수 없다.",res/ui/icons/item/topaz.png,topaz,topaz,,,,,,,,,,,,토파즈,
700010,simple,고대주화,"고대인들이 사용한 것으로 보이는 주화, 고대의 탑 등에서 발견되고 있으며 희소가치가 높아 희귀한 상품과 거래된다.",res/ui/icons/item/ancient.png,ancient,ancient,,,,,,,,,,,,고대주화,
700011,simple,클랜코인,클랜 활동을 성실히 수행한 테이머들에게 수여되는 코인. 상점에서 다른 아이템들과 교환할 수 있다.,res/ui/icons/item/clancoin.png,clancoin,clancoin,,,,,,,,,,,,클랜코인,
700012,simple,캡슐코인,캡슐 뽑기를 할 수 있는 코인. ,res/ui/icons/item/capsule_coin.png,capsule_coin,capsule_coin,,,,,,,,,,,,캡슐코인,
700013,simple,용맹훈장,콜로세움에서 최고의 능력과 용맹함을 증명한 테이머만이 받을 수 있는 최고 등급의 훈장,res/ui/icons/item/valor.png,valor,valor,,,,,,,,,,,,용맹훈장,
700014,simple,아모르의 서,이 책을 읽은 드래곤은 자신의 한계를 뛰어넘는 힘을 손에 넣을 수 있다고 한다...,res/ui/icons/item/amor.png,amor,amor,,,,,,,,,100,1650101;1650102;1650103;1650104;1650105;1650106;1650107;1650108;1650109;1650110,,아모르의 서,
700015,simple,망각의 서,이 책을 읽은 드래곤은 자신의 새로운 가능성을 발견할 수 있다고 한다...,res/ui/icons/item/oblivion.png,oblivion,oblivion,,,,,,,,,1000,,,망각의 서,
700016,simple,드래곤 먹이,드래곤의 성장을 도와주는 먹이. 드래곤 레벨업에 사용할 수 있다.,res/ui/icons/item/dragon_food.png,dragon_food,dragon_food,,,,,,,,1,0,,,드래곤 먹이,
700017,stack,드래곤 경험치,{@YELLOW}드래곤 레벨업{@DEFAULT}에 필요하다. 드래곤 관리 화면에서 드래곤의 레벨을 올릴 수 있다.,res/ui/icons/item/dragon_exp.png,dragon_exp,dragon_exp,,,,,,,,1,0,,,드래곤 경험치,
700018,simple,승점,콜로세움 승점,res/ui/icons/item/arena_point.png,arena_point,arena_point,,,,,,,,1,0,,,승점,
700019,simple,별의 기억,알리티아의 무한한 지식을 담은 기억의 조각. 신화 등급 드래곤과 작별할 때 받을 수 있다.,res/ui/icons/item/memory_myth.png,memory,memory_myth,,,,,,,,1,0,,,별의 기억,
700020,simple,잭-오-랜턴,이벤트 기간 동안 잭-오-랜턴 아이템을 획득해 특별 상품을 구매해 보세요.,res/ui/icons/item/event_token.png,event_token,event_token,,,,,,,,1,0,,,잭-오-랜턴,
700021,simple,투표권,좋아하는 드래곤에게 투표할 수 있는 투표권,res/ui/icons/item/event_vote_ticket.png,event_vote_ticket,event_vote_ticket,,,,,,,,1,0,,,투표권,
700022,simple,축복 티켓,축복을 얻을 수 있는 티켓. 아모르에게서 강력한 버프를 받을 수 있다고 전해진다.,res/ui/icons/item/blessing_ticket.png,blessing_ticket,blessing_ticket,,,,,,,,1,0,,,축복 티켓,
700101,simple,날개,테이머가 모험을 하거나 던전을 탐색하는데 필요한 입장권.,res/ui/icons/item/staminas_st.png,staminas_st,staminas_st,,,,,,,,1,330,,,날개,
700102,simple,콜로세움 입장권,"다른 테이머와 강함을 겨룰 수 있는 콜로세움의 입장권. 콜로세움에서 치룰 수 있는 대전의 수가 한정되어 있는만큼, 진정한 테이머로 인정받은 자들에게만 지급된다.",res/ui/icons/item/staminas_pvp.png,staminas_pvp,staminas_pvp,,,,,,,,1,332,,,(구)콜로세움 입장권,
