rand_item_id,r_name,item_id
702091,하급 열매,"702013,702012,702011,702014,702015"
702092,중급 열매,"702023,702022,702021,702024,702025"
702093,상급 열매,"702033,702032,702031,702034,702035"
702094,최상급 열매,"702043,702042,702041,702044,702045"
701191,하급 정기,"701111,701121,701131,701141,701151"
701192,중급 정기,"701112,701122,701132,701142,701152"
701193,상급 정기,"701113,701123,701133,701143,701153"
701194,최상급 정기,"701114,701124,701134,701144,701154"
720111,1등급 체력 룬,"710111,710121,710131,710141,710151,710161"
720121,"1등급 1,2,3번 체력 룬","710111,710121,710131"
720131,"1등급 4,5,6번 체력 룬","710141,710151,710161"
720211,1등급 기회 룬,"710211,710221,710231,710241,710251,710261"
720221,"1등급 1,2,3번 기회 룬","710211,710221,710231"
720231,"1등급 4,5,6번 기회 룬","710241,710251,710261"
720711,1등급 피해 룬,"710711,710721,710731,710741,710751,710761"
720721,"1등급 1,2,3번 피해 룬","710711,710721,710731"
720731,"1등급 4,5,6번 피해 룬","710741,710751,710761"
720311,1등급 적중 룬,"710311,710321,710331,710341,710351,710361"
720321,"1등급 1,2,3번 적중 룬","710311,710321,710331"
720331,"1등급 4,5,6번 적중 룬","710341,710351,710361"
720611,1등급 강렬 룬,"710611,710621,710631,710641,710651,710661"
720621,"1등급 1,2,3번 강렬 룬","710611,710621,710631"
720631,"1등급 4,5,6번 강렬 룬","710641,710651,710661"
720411,1등급 견고 룬,"710411,710421,710431,710441,710451,710461"
720421,"1등급 1,2,3번 견고 룬","710411,710421,710431"
720431,"1등급 4,5,6번 견고 룬","710441,710451,710461"
720811,1등급 쾌속 룬,"710811,710821,710831,710841,710851,710861"
720821,"1등급 1,2,3번 쾌속 룬","710811,710821,710831"
720831,"1등급 4,5,6번 쾌속 룬","710841,710851,710861"
720112,2등급 체력 룬,"710112,710122,710132,710142,710152,710162"
720122,"2등급 1,2,3번 체력 룬","710112,710122,710132"
720132,"2등급 4,5,6번 체력 룬","710142,710152,710162"
720212,2등급 기회 룬,"710212,710222,710232,710242,710252,710262"
720222,"2등급 1,2,3번 기회 룬","710212,710222,710232"
720232,"2등급 4,5,6번 기회 룬","710242,710252,710262"
720712,2등급 피해 룬,"710712,710722,710732,710742,710752,710762"
720722,"2등급 1,2,3번 피해 룬","710712,710722,710732"
720732,"2등급 4,5,6번 피해 룬","710742,710752,710762"
720312,2등급 적중 룬,"710312,710322,710332,710342,710352,710362"
720322,"2등급 1,2,3번 적중 룬","710312,710322,710332"
720332,"2등급 4,5,6번 적중 룬","710342,710352,710362"
720612,2등급 강렬 룬,"710612,710622,710632,710642,710652,710662"
720622,"2등급 1,2,3번 강렬 룬","710612,710622,710632"
720632,"2등급 4,5,6번 강렬 룬","710642,710652,710662"
720412,2등급 견고 룬,"710412,710422,710432,710442,710452,710462"
720422,"2등급 1,2,3번 견고 룬","710412,710422,710432"
720432,"2등급 4,5,6번 견고 룬","710442,710452,710462"
720812,2등급 쾌속 룬,"710812,710822,710832,710842,710852,710862"
720822,"2등급 1,2,3번 쾌속 룬","710812,710822,710832"
720832,"2등급 4,5,6번 쾌속 룬","710842,710852,710862"
720113,3등급 체력 룬,"710113,710123,710133,710143,710153,710163"
720123,"3등급 1,2,3번 체력 룬","710113,710123,710133"
720133,"3등급 4,5,6번 체력 룬","710143,710153,710163"
720213,3등급 기회 룬,"710213,710223,710233,710243,710253,710263"
720223,"3등급 1,2,3번 체력 룬","710213,710223,710233"
720233,"3등급 4,5,6번 체력 룬","710243,710253,710263"
720713,3등급 피해 룬,"710713,710723,710733,710743,710753,710763"
720723,"3등급 1,2,3번 피해 룬","710713,710723,710733"
720733,"3등급 4,5,6번 피해 룬","710743,710753,710763"
720313,3등급 적중 룬,"710313,710323,710333,710343,710353,710363"
720323,"3등급 1,2,3번 적중 룬","710313,710323,710333"
720333,"3등급 4,5,6번 적중 룬","710343,710353,710363"
720613,3등급 강렬 룬,"710613,710623,710633,710643,710653,710663"
720623,"3등급 1,2,3번 강렬 룬","710613,710623,710633"
720633,"3등급 4,5,6번 강렬 룬","710643,710653,710663"
720413,3등급 견고 룬,"710413,710423,710433,710443,710453,710463"
720423,"3등급 1,2,3번 견고 룬","710413,710423,710433"
720433,"3등급 4,5,6번 견고 룬","710443,710453,710463"
720813,3등급 쾌속 룬,"710813,710823,710833,710843,710853,710863"
720823,"3등급 1,2,3번 쾌속 룬","710813,710823,710833"
720833,"3등급 4,5,6번 쾌속 룬","710843,710853,710863"
720114,4등급 체력 룬,"710114,710124,710134,710144,710154,710164"
720124,"4등급 1,2,3번 체력 룬","710114,710124,710134"
720134,"4등급 4,5,6번 체력 룬","710144,710154,710164"
720214,4등급 기회 룬,"710214,710224,710234,710244,710254,710264"
720224,"4등급 1,2,3번 기회 룬","710214,710224,710234"
720234,"4등급 4,5,6번 기회 룬","710244,710254,710264"
720714,4등급 피해 룬,"710714,710724,710734,710744,710754,710764"
720724,"4등급 1,2,3번 피해 룬","710714,710724,710734"
720734,"4등급 4,5,6번 피해 룬","710744,710754,710764"
720314,4등급 적중 룬,"710314,710324,710334,710344,710354,710364"
720324,"4등급 1,2,3번 적중 룬","710314,710324,710334"
720334,"4등급 4,5,6번 적중 룬","710344,710354,710364"
720614,4등급 강렬 룬,"710614,710624,710634,710644,710654,710664"
720624,"4등급 1,2,3번 강렬 룬","710614,710624,710634"
720634,"4등급 4,5,6번 강렬 룬","710644,710654,710664"
720414,4등급 견고 룬,"710414,710424,710434,710444,710454,710464"
720424,"4등급 1,2,3번 견고 룬","710414,710424,710434"
720434,"4등급 4,5,6번 견고 룬","710444,710454,710464"
720814,4등급 쾌속 룬,"710814,710824,710834,710844,710854,710864"
720824,"4등급 1,2,3번 쾌속 룬","710814,710824,710834"
720834,"4등급 4,5,6번 쾌속 룬","710844,710854,710864"
720115,5등급 체력 룬,"710115,710125,710135,710145,710155,710165"
720125,"5등급 1,2,3번 체력 룬","710115,710125,710135"
720135,"5등급 4,5,6번 체력 룬","710145,710155,710165"
720215,5등급 기회 룬,"710215,710225,710235,710245,710255,710265"
720225,"5등급 1,2,3번 기회 룬","710215,710225,710235"
720235,"5등급 4,5,6번 기회 룬","710245,710255,710265"
720715,5등급 피해 룬,"710715,710725,710735,710745,710755,710765"
720725,"5등급 1,2,3번 피해 룬","710715,710725,710735"
720735,"5등급 4,5,6번 피해 룬","710745,710755,710765"
720315,5등급 적중 룬,"710315,710325,710335,710345,710355,710365"
720325,"5등급 1,2,3번 적중 룬","710315,710325,710335"
720335,"5등급 4,5,6번 적중 룬","710345,710355,710365"
720615,5등급 강렬 룬,"710615,710625,710635,710645,710655,710665"
720625,"5등급 1,2,3번 강렬 룬","710615,710625,710635"
720635,"5등급 4,5,6번 강렬 룬","710645,710655,710665"
720415,5등급 견고 룬,"710415,710425,710435,710445,710455,710465"
720425,"5등급 1,2,3번 견고 룬","710415,710425,710435"
720435,"5등급 4,5,6번 견고 룬","710445,710455,710465"
720815,5등급 쾌속 룬,"710815,710825,710835,710845,710855,710865"
720825,"5등급 1,2,3번 쾌속 룬","710815,710825,710835"
720835,"5등급 4,5,6번 쾌속 룬","710845,710855,710865"
720116,6등급 체력 룬,"710116,710126,710136,710146,710156,710166"
720126,"6등급 1,2,3번 체력 룬","710116,710126,710136"
720136,"6등급 4,5,6번 체력 룬","710146,710156,710166"
720216,6등급 기회 룬,"710216,710226,710236,710246,710256,710266"
720226,"6등급 1,2,3번 기회 룬","710216,710226,710236"
720236,"6등급 4,5,6번 기회 룬","710246,710256,710266"
720716,6등급 피해 룬,"710716,710726,710736,710746,710756,710766"
720726,"6등급 1,2,3번 피해 룬","710716,710726,710736"
720736,"6등급 4,5,6번 피해 룬","710746,710756,710766"
720316,6등급 적중 룬,"710316,710326,710336,710346,710356,710366"
720326,"6등급 1,2,3번 적중 룬","710316,710326,710336"
720336,"6등급 4,5,6번 적중 룬","710346,710356,710366"
720616,6등급 강렬 룬,"710616,710626,710636,710646,710656,710666"
720626,"6등급 1,2,3번 강렬 룬","710616,710626,710636"
720636,"6등급 4,5,6번 강렬 룬","710646,710656,710666"
720416,6등급 견고 룬,"710416,710426,710436,710446,710456,710466"
720426,"6등급 1,2,3번 견고 룬","710416,710426,710436"
720436,"6등급 4,5,6번 견고 룬","710446,710456,710466"
720816,6등급 쾌속 룬,"710816,710826,710836,710846,710856,710866"
720826,"6등급 1,2,3번 쾌속 룬","710816,710826,710836"
720836,"6등급 4,5,6번 쾌속 룬","710846,710856,710866"
720011,1등급 룬,"710111,710121,710131,710141,710151,710161,710211,710221,710231,710241,710251,710261,710711,710721,710731,710741,710751,710761,710611,710621,710631,710641,710651,710661,710411,710421,710431,710441,710451,710461,710811,710821,710831,710841,710851,710861"
720012,2등급 룬,"710112,710122,710132,710142,710152,710162,710212,710222,710232,710242,710252,710262,710712,710722,710732,710742,710752,710762,710612,710622,710632,710642,710652,710662,710412,710422,710432,710442,710452,710462,710812,710822,710832,710842,710852,710862"
720013,3등급 룬,"710113,710123,710133,710143,710153,710163,710213,710223,710233,710243,710253,710263,710713,710723,710733,710743,710753,710763,710613,710623,710633,710643,710653,710663,710413,710423,710433,710443,710453,710463,710813,710823,710833,710843,710853,710863"
720014,4등급 룬,"710114,710124,710134,710144,710154,710164,710214,710224,710234,710244,710254,710264,710714,710724,710734,710744,710754,710764,710614,710624,710634,710644,710654,710664,710414,710424,710434,710444,710454,710464,710814,710824,710834,710844,710854,710864"
720015,5등급 룬,"710115,710125,710135,710145,710155,710165,710215,710225,710235,710245,710255,710265,710715,710725,710735,710745,710755,710765,710615,710625,710635,710645,710655,710665,710415,710425,710435,710445,710455,710465,710815,710825,710835,710845,710855,710865"
720016,6등급 룬,"710116,710126,710136,710146,710156,710166,710216,710226,710236,710246,710256,710266,710716,710726,710736,710746,710756,710766,710616,710626,710636,710646,710656,710666,710416,710426,710436,710446,710456,710466,710816,710826,710836,710846,710856,710866"
705051,하급 외형 변환 재료,"705011,705012,705013"
705052,하급 외형 변환 재료,"705014,705015"
705061,중급 외형 변환 재료,"705021,705022,705023"
705062,중급 외형 변환 재료,"705024,705025"
705071,상급 외형 변환 재료,"705031,705032,705033"
705072,상급 외형 변환 재료,"705034,705035"
705081,최상급 외형 변환 재료,"705041,705042,705043"
705082,최상급 외형 변환 재료,"705044,705045"
