rank_id,tier_id,r_name,reward,next_tier,version
1,51,U랭크 잔류,700001;20000,u,-1
2,52,U랭크 강등,700001;15000,s,-1
3,53,U랭크 0점,,s,-1
4,40,S랭크 승급,700001;10000,u,-1
5,41,S랭크 잔류,700001;8000,s,-1
6,42,S랭크 강등,700001;7000,a,-1
7,43,S랭크 0점,,a,-1
8,30,A랭크 승급,700001;6000,s,-1
9,31,A랭크 잔류,700001;5000,a,-1
10,32,A랭크 강등,700001;4000,b,-1
11,33,A랭크 0점,,b,-1
12,20,B랭크 승급,700001;3500,a,-1
13,21,B랭크 잔류,700001;2500,b,-1
14,22,B랭크 강등,700001;1500,c,-1
15,23,B랭크 0점,,c,-1
16,10,C랭크 승급,700001;1000,b,-1
17,11,C랭크 잔류,700001;500,c,-1
18,13,C랭크 0점,,c,-1
19,51,U랭크 잔류,700001;20000,u,1
20,52,U랭크 강등,700001;15000,s,1
21,53,U랭크 0점,,s,1
22,40,S랭크 승급,700001;10000,u,1
23,41,S랭크 잔류,700001;8000,s,1
24,42,S랭크 강등,700001;7000,a,1
25,43,S랭크 0점,,a,1
26,30,A랭크 승급,700001;6000,s,1
27,31,A랭크 잔류,700001;5000,a,1
28,32,A랭크 강등,700001;4000,b,1
29,33,A랭크 0점,,b,1
30,20,B랭크 승급,700001;3500,a,1
31,21,B랭크 잔류,700001;2500,b,1
32,22,B랭크 강등,700001;1500,c,1
33,23,B랭크 0점,,c,1
34,10,C랭크 승급,700001;1000,b,1
35,11,C랭크 잔류,700001;500,c,1
36,13,C랭크 0점,,c,1
