id,rank_id,r_name,rank_min,rank_max,ratio_min,ratio_max,reward,version
100001,1,1,1,1,,,"700001;500000,700318;5",s202402
100002,2,2,2,2,,,"700001;400000,700318;3",s202402
100003,3,3,3,3,,,"700001;300000,700318;2",s202402
100004,4,4,4,4,,,"700001;200000,700318;1",s202402
100005,5,5~6,5,6,,,"700001;100000,700318;1",s202402
100006,6,7~8,7,8,,,"700001;90000,700304;1",s202402
100007,7,9~10,9,10,,,"700001;80000,700304;1",s202402
100008,8,11~15,11,15,,,700001;70000,s202402
100009,9,16~20,16,20,,,700001;60000,s202402
100010,10,21~30,21,30,,,700001;50000,s202402
100011,11,31~40,31,40,,,700001;40000,s202402
100012,12,41~50,41,50,,,700001;30000,s202402
100013,13,51~75,51,75,,,700001;20000,s202402
100014,14,76~100,76,100,,,700001;10000,s202402
100015,15,101~150,101,150,,,700001;9000,s202402
100016,16,151~200,151,200,,,700001;8000,s202402
100017,17,201~300,201,300,,,700001;7000,s202402
100018,18,301~400,301,400,,,700001;6000,s202402
100019,19,401~500,401,500,,,700001;5000,s202402
100020,20,501~750,501,750,,,700001;4000,s202402
100021,21,751~1000,751,1000,,,700001;3000,s202402
200001,1,1,1,1,,,"700002;10000000,700318;1",s202402_daily
200002,2,2,2,2,,,"700002;9500000,703042;1",s202402_daily
200003,3,3,3,3,,,"700002;9000000,703042;1",s202402_daily
200004,4,4,4,4,,,"700002;8500000,703042;1",s202402_daily
200005,5,5~6,5,6,,,"700002;8000000,703041;1",s202402_daily
200006,6,7~8,7,8,,,"700002;7500000,703041;1",s202402_daily
200007,7,9~10,9,10,,,"700002;7000000,703041;1",s202402_daily
200008,8,11~15,11,15,,,"700002;6500000,703005;1",s202402_daily
200009,9,16~20,16,20,,,"700002;6000000,703005;1",s202402_daily
200010,10,21~30,21,30,,,"700002;5500000,703005;1",s202402_daily
200011,11,31~40,31,40,,,"700002;5000000,703003;1",s202402_daily
200012,12,41~50,41,50,,,"700002;4500000,703003;1",s202402_daily
200013,13,51~75,51,75,,,"700002;4000000,703003;1",s202402_daily
200014,14,76~100,76,100,,,"700002;3500000,703003;1",s202402_daily
200015,15,101~150,101,150,,,700002;3000000,s202402_daily
200016,16,151~200,151,200,,,700002;2500000,s202402_daily
200017,17,201~300,201,300,,,700002;2000000,s202402_daily
200018,18,301~400,301,400,,,700002;1500000,s202402_daily
200019,19,401~500,401,500,,,700002;1250000,s202402_daily
200020,20,501~750,501,750,,,700002;1000000,s202402_daily
200021,21,751~1000,751,1000,,,700002;500000,s202402_daily
