vid,rotate,version,start,end,is_start,r_desc
1010001,101,1,20181101,20181110,0,테섭 테스트용
1020002,102,2,20181017,20181101,0,카르나(어둠)
1030003,103,3,20181112,20181129,0,앙그라(불)
1040004,104,4,20181218,20190101,0,카르나(땅)
1050005,105,5,20190101,20190110,0,베르나(빛)
1060001,106,1,20190213,20190312,1,미트라(빛)
1070001,107,1,20190301,20190315,0,인기 드래곤 뽑기권(어둠)
1080001,108,1,20190315,20190329,0,전설 강화 포인트(640개)
1060002,106,2,20190329,20190412,0,썬더볼트(물)
1090001,109,1,20190412,20190426,0,전설 스킬 슬라임(12개)
1070002,107,2,20190426,20190510,0,인기 드래곤 뽑기권(빛)
1100001,110,1,20190510,20190524,0,신화의 알1
1090002,109,2,20190524,20190607,0,전설 스킬 슬라임(12개)
1030004,103,4,20190607,20190621,0,앙그라(어둠)
1100002,110,2,20190621,20190705,0,절대적인 전설의 알1
1070003,107,3,20190705,20190719,0,인기 드래곤 뽑기권(어둠)
1080002,108,2,20190719,20190801,0,전설 강화 포인트(640개)
1060003,106,3,20190801,20190816,0,저네르(어둠)
1070004,107,4,20190816,20190830,0,인기 드래곤 뽑기권(빛)
1110001,111,1,20190830,20190913,0,토파즈 드래곤 뽑기권1
1090003,109,3,20190913,20190927,0,전설 스킬 슬라임(12개)
1070005,107,5,20190927,20191011,0,인기 드래곤 뽑기권(어둠)
1020003,102,3,20191011,20191018,0,카르나(어둠)
1080003,108,3,20191018,20191025,0,전설 강화 포인트(640개)
1070006,107,6,20191025,20191108,0,인기 드래곤 뽑기권(빛)
1090004,109,4,20191108,20191122,0,전설 스킬 슬라임(12개)
1070007,107,7,20191122,20191201,0,인기 드래곤 뽑기권(어둠)
1050006,105,6,20191201,20191209,0,베르나(빛)
1060004,106,4,20191209,20191216,0,저네르(어둠)
1080004,108,4,20191216,20191230,0,전설 강화 포인트(960개)
1240001,124,1,20191230,20200113,0,썬더볼트(빛)
1220001,122,1,20200113,20200124,0,전설 스킬 슬라임(12개)
1290001,129,1,20200124,20200201,0,전설 드래곤 선택권1
1210001,121,1,20200201,20200210,0,전설 강화 포인트(960개)
1300001,130,1,20200210,20200224,0,신화의 알(3개)
1220002,122,2,20200224,20200309,0,전설 스킬 슬라임(12개)
1310001,131,1,20200309,20200323,0,인기 드래곤 선택권(어둠)
1210002,121,2,20200323,20200330,0,전설 강화 포인트(960개)
1320001,132,1,20200330,20200413,0,아실리(빛)
1230001,123,1,20200413,20200420,0,미트라(빛)
1220003,122,3,20200420,20200427,0,전설 스킬 슬라임(12개)
1300002,130,2,20200427,20200504,0,신화의 알(3개)
1350001,135,1,20200504,20200511,0,썬더볼트(물)
1210003,121,3,20200511,20200518,0,전설 강화 포인트(960개)
1340001,134,1,20200518,20200601,0,베르나(어둠)
1220004,122,4,20200601,20200608,0,전설 스킬 슬라임(12개)
1330001,133,1,20200608,20200615,0,앙그라(어둠)
1360001,136,1,20200615,20200622,0,"카르나(어둠), 카르나(땅)"
1370001,137,1,20200622,20200629,0,저네르(어둠)
