cid,type,ui_priority,t_name,sale_type,t_desc,res_sd,res_icon,scale,stat_bonus
730100,goni,99,기본 코스튬,,고니의 기본 코스튬,res/character/tamer/goni/goni.spine,res/ui/icons/tamer/costume_goni.png,1,
730101,goni,10,할로윈 캣츠,,할로윈 특집! 고양이 싫어하는 사람은 없겠죠,res/character/tamer/goni_halloween_01/goni_halloween_01.spine,res/ui/icons/tamer/costume_goni_halloween_01.png,1,
730102,goni,10,할로윈 잭오랜턴,,할로윈 특집! 고니가 너무 들떴나봅니다,res/character/tamer/goni_halloween_02/goni_halloween_02.spine,res/ui/icons/tamer/costume_goni_halloween_02.png,1,
730104,goni,20,화염 기사,topaz,태양과 같이 화끈한 갑옷입니다.,res/character/tamer/goni_blazeknight/goni_blazeknight.spine,res/ui/icons/tamer/costume_goni_blaze_01.png,1,
730105,goni,30,3주년 연미복,,3주년 기념 코스튬,res/character/tamer/goni_3rd_anniversary/goni_3rd_anniversary.spine,res/ui/icons/tamer/costume_goni_3rd_anniversary.png,1,
730200,nuri,99,기본 코스튬,,누리의 기본 코스튬,res/character/tamer/nuri/nuri.spine,res/ui/icons/tamer/costume_nuri.png,1,
730201,nuri,10,할로윈 데몬,,할로윈 특집! 누리는 사실 악마였습니다,res/character/tamer/nuri_halloween_01/nuri_halloween_01.spine,res/ui/icons/tamer/costume_nuri_halloween_01.png,1,
730202,nuri,10,할로윈 캣우먼,,할로윈 특집! 파티엔 도둑이 나타나기 마련이죠,res/character/tamer/nuri_halloween_02/nuri_halloween_02.spine,res/ui/icons/tamer/costume_nuri_halloween_02.png,1,
730204,nuri,20,겨울 여왕,topaz,겨울에 어울리는 화사한 드레스입니다.,res/character/tamer/nuri_winter_01/nuri_winter_01.spine,res/ui/icons/tamer/costume_nuri_winter_01.png,1,
730205,nuri,30,3주년 드레스,,3주년 기념 코스튬,res/character/tamer/nuri_3rd_anniversary/nuri_3rd_anniversary.spine,res/ui/icons/tamer/costume_nuri_3rd_anniversary.png,1,
730300,dede,99,기본 코스튬,,데데의 기본 코스튬,res/character/tamer/dede/dede.spine,res/ui/icons/tamer/costume_dede.png,1,
730301,dede,20,한복,,한복 코스튬입니다. 데데의 귀여움이 더욱 증가하였네요,res/character/tamer/dede_hanbok_01/dede_hanbok_01.spine,res/ui/icons/tamer/costume_dede_hanbok_01.png,1,
730302,dede,10,할로윈 엔젤,,할로윈 특집! 이럴때 천사라니 고리타분하죠,res/character/tamer/dede_halloween_01/dede_halloween_01.spine,res/ui/icons/tamer/costume_dede_halloween_01.png,1,
730303,dede,10,할로윈 윗치,,"할로윈 특집! 네, 전형적이죠",res/character/tamer/dede_halloween_02/dede_halloween_02.spine,res/ui/icons/tamer/costume_dede_halloween_02.png,1,
730400,kesath,99,기본 코스튬,,케사스의 기본 코스튬,res/character/tamer/kesath/kesath.spine,res/ui/icons/tamer/costume_kesath.png,1,
730401,kesath,20,한복,,한복 코스튬입니다. 케사스는 마치 암행어사 처럼 보이네요.,res/character/tamer/kesath_hanbok_01/kesath_hanbok_01.spine,res/ui/icons/tamer/costume_kesath_hanbok_01.png,1,
730402,kesath,10,할로윈 모자장수,,할로윈 특집! 머리의 카드는 장식입니다. 별뜻없어요.,res/character/tamer/kesath_halloween_01/kesath_halloween_01.spine,res/ui/icons/tamer/costume_kesath_halloween_01.png,1,
730403,kesath,10,할로윈 데빌,,할로윈 특집! 마치 풍신을 쓸듯합니다,res/character/tamer/kesath_halloween_02/kesath_halloween_02.spine,res/ui/icons/tamer/costume_kesath_halloween_02.png,1,
730404,kesath,30,서릿빛,,차가운 카리스마가 넘치는 케사스의 복장입니다.,res/character/tamer/kesath_winter_01/kesath_winter_01.spine,res/ui/icons/tamer/costume_kesath_winter_01.png,1,
730500,durun,99,기본 코스튬,,두른의 기본 코스튬,res/character/tamer/durun/durun.spine,res/ui/icons/tamer/costume_durun.png,1,
730501,durun,10,할로윈 드라큘라,,할로윈 특집! 왠지 바다로 나가고 싶어지네요,res/character/tamer/durun_halloween_01/durun_halloween_01.spine,res/ui/icons/tamer/costume_durun_halloween_01.png,1,
730502,durun,20,엘리트 마공학자,,젊은 시절의 두른도 정말 매력있지 않나요?,res/character/tamer/durun_winter_01/durun_winter_01.spine,res/ui/icons/tamer/costume_durun_winter_01.png,1,
730504,durun,30,3주년 제복,,3주년 기념 코스튬,res/character/tamer/durun_3rd_anniversary/durun_3rd_anniversary.spine,res/ui/icons/tamer/costume_durun_3rd_anniversary.png,1,
730600,mokoji,99,기본 코스튬,,모코지의 기본 코스튬,res/character/tamer/mokoji/mokoji.spine,res/ui/icons/tamer/costume_mokoji.png,1,
